Timestamp,Team Name,Have you or your teammates played in VESA Apex before?,"Remind us of your team's previous VESA experience:
Which leagues/seasons have you and your teammates played before?",How familiar are you with Competitive Apex?,What is the collective average end-of-season rank of your team?,What platform(s) does your team play on?,"Do you have any experience outside of VESA playing Competitive Apex (scrims, tournaments, PSQs, CCs, etc)?",We're excited to welcome you to our league! How did you find us?,How familiar are you with Competitive Apex?,What is the collective average end-of-season rank of your team?,What platform(s) does your team play on?,"Do you have any experience outside of VESA playing Competitive Apex (scrims, tournaments, PSQs, CCs, etc)?","Team Captain(s) Discord Username

Team captains will be notified in our Discord server about league-related business such as dropspots. Captains are also the first point of contact for anything specifically concerning your team. You may designate more than one captain if you would like.

If you have not done so already, make sure your captain joins the VESA Discord. 

Note that if you change your discord username (and nickname in our server) constantly, we may be unable to contact you team regarding league participation. If we cannot contact you, your team will not be added to the league.","Additional teammate(s) Discord usernames:

Optional, would recommend including these if your teammates are in the VESA server and would like to be added to a channel specifically for your league.",In game name (Player 1),"Overstat and/or DGS profile (Player 1)

If you have played competitive Apex before, please include the url(s). If you have no competitive experience, you will not have a profile yet. ",In game name (Player 2),"Overstat and/or DGS profile (Player 2)

If you have played competitive Apex before, please include the url(s). If you have no competitive experience, you will not have a profile yet. ",In game name (Player 3),"Overstat and/or DGS profile (Player 3)

If you have played competitive Apex before, please include the url(s). If you have no competitive experience, you will not have a profile yet. ","Any questions?

If you are unsure about anything, include your question(s) here and an admin will reach out to you!"
2024/09/09 7:58:42 PM AST,Glass Cannon ,All returning to VESA,"Emergent Season 7, Challengers Season 6",5,Platinum,All PC,Yes,,,,,,IrishMcNasty ,Showtime ,IrishMcNasty,https://overstat.gg/player/1572441.IrishMcNasty/overview,Showtime,https://overstat.gg/player/1572440.Showtime/overview,NØKK,https://overstat.gg/player/104964.N%C3%98KK/overview,
2024/09/09 8:02:57 PM AST,Hell's Kitchen,All returning to VESA,Tendies & Challengers,4,Platinum,All PC,Yes,,,,,,AriFGC,"treebear4p, saaaber",Ari?,https://overstat.gg/player/1537644.Ari%3F/overview,TreeBear4p,https://overstat.gg/player/1307462.Treebear4P/overview,Saber,https://overstat.gg/player/21592.SABER/overview,why are vesa admins so cute?
2024/09/09 8:08:01 PM AST,Maet Xepa,All returning to VESA,Season 6 and 7,4,Platinum,"Some PC, some console",Yes,,,,,,find0utt_TTV,absolved,[Access Denied],https://overstat.gg/player/255551.find0utt_TTV/overview,C4 Eeyore,https://overstat.gg/player/1281994.c4%20eeyore/overview,EMP The Proto,https://overstat.gg/player/1003330.EMPTheProto%20%7C%20Twitch/overview,
2024/09/09 10:06:14 PM AST,Chocobo Drift,All returning to VESA,VCS/Pinnacle,4,Diamond,All PC,Yes,,,,,,the_sleeping,"itspenguinii, 0ptical",Sleeping,https://overstat.gg/player/753149.Sleeping/overview,Penguinii,https://overstat.gg/player/753150.Penguinii/overview,0ptical,https://overstat.gg/player/563218.0ptical/overview,
2024/09/09 10:33:03 PM AST,LDG,All new to VESA,,,,,,Heard about VESA from a friend;Heard about VESA from another community,5,Diamond,All PC,Yes,shhnarff,fleminem0313 & cake2236,Shouli,https://overstat.gg/player/1405218.Shouli/overview,officerflshlight,https://overstat.gg/player/1537946.sadpandagang/overview,cake,https://overstat.gg/player/2005986.Cake/overview,
2024/09/09 10:46:59 PM AST,Throat Goats,All new to VESA,,,,,,Apex Admin Discord,4,Diamond,All PC,Yes,Muro8o8 or DannyOhagin,Froooooosh,Ttv Muro8o8,https://overstat.gg/player/75982.ttv%20muro8o8/overview,follow muro8o8 for feet cam,https://overstat.gg/player/81840.follow%20muro8o8%20for%20feet%20cam/overview,COL KIMCHILEE,https://overstat.gg/player/81889.COL%20KIMCHILEE/overview,
2024/09/09 11:50:23 PM AST,Tokyo,All returning to VESA,Pinnacle ,4,Platinum,All PC,Yes,,,,,,Kaido,Prophecy ,Kaido,https://overstat.gg/player/1120566.Toastmaxxxing/overview,Prophecy,https://overstat.gg/player/2221483.Prophecy/overview,Arise,https://overstat.gg/player/554163.not%20mnk%20beast/overview,no quema cuh
2024/09/10 5:04:42 AM AST,nO aIM nO bRAINS,All new to VESA,,,,,,Heard about VESA from another community,4,Diamond,All PC,Yes,secrets7790,Mworkz_ | Twitch chicoflame,Secrets,https://overstat.gg/player/64.KICK.COM%2FSECRETS%20on%20APEX/overview,Mworkz,Na,chicoflame,Na,
2024/09/10 1:10:45 PM AST,F5,All returning to VESA,All Pinn ,5,Masters+,All PC,Yes,,,,,,Mysteryz,,Mysteryz,,Ferris66,,BuddyTrevs,,
2024/09/10 2:30:10 PM AST,2 Meter Squad,All new to VESA,,,,,,Heard about VESA from a friend,5,Platinum,"Some PC, some console",Yes,@Brandino,,BrandinoBrandino,,Iiiiiioopp,,XzDeBiGBear,,
2024/09/10 2:47:29 PM AST,Shizuka,"2 players returning to VESA, 1 new player","Contenders S5, Ascendent S6, Emergent S7",4,Diamond,"Some PC, some console",Yes,,,,,,Dyln ( user: nmedyln ),xZoltraakx ( user: demondidact),nmedyln,Tried to put mine but couldn’t link it on the site. If stats are needed I can submit a picture ,xZoltraakx,,M0tionL0ti0n,,"For the stats, on the site it said their linking process was down and the stats on there weren’t updated correctly. I can send stats if needed "
2024/09/10 2:53:22 PM AST,For The Boys,All new to VESA,,,,,,Heard about VESA from another community,5,Diamond,All PC,Yes,SliceofJAO,"Steph, Hunkulesss",SliceofJAO_Twitch,,Hunkulesss | Twitch,,Dr. Stephasaurus,,
2024/09/10 4:23:26 PM AST,Division 1,All new to VESA,,,,,,Heard about VESA from a friend,3,Diamond,All PC,No,Papa Molly,"Reap, Rasp",Shotgunlicker-yt,,Jack McIntyre,Sewerratttv,Onlylootnoshootkick,,
2024/09/10 4:25:27 PM AST,OMPA,"1 player returning to VESA, 2 new players",Challengers,4,Platinum,All PC,Yes,,,,,,MDeVivo,"BobbyBooshay , PatBeck",MDeVivo,https://overstat.gg/player/176051.MDeVivo/overview,BobbyBooshay,https://overstat.gg/player/455959.BobbyBooshayy/overview,PatBeck ,https://overstat.gg/player/455979.pat/overview,
2024/09/10 5:04:06 PM AST,Batman Begin,All returning to VESA,"Season 6 - Present (Pinnacle, then mostly Ascendant)",5,Diamond,All PC,Yes,,,,,,thejordanruiz,"SuperSandLegend, Boomrazzle",Jhonpii,https://overstat.gg/player/626671.Jhonpii/overview,SuperSandLegend,https://overstat.gg/player/2352453.SuperSandLegend/overview,Boomrazzle,https://overstat.gg/player/580292.Boomrazzle/overview,
2024/09/10 5:15:45 PM AST,Zyntimacy,All returning to VESA,Season 7 Emergent,5,Platinum,All PC,No,,,,,,Enderphor,"Sithopher, EagleUSA",Enderphor,https://overstat.gg/player/2299736.Enderphor/overview,EagleUSA,https://overstat.gg/player/2299737.EagleUSA/overview,Sithopher,https://overstat.gg/player/2299738.Sithopher/overview,
2024/09/10 5:41:13 PM AST,Poor Smoothness,"2 players returning to VESA, 1 new player",Ascendant/Pinnacle,4,Diamond,All PC,Yes,,,,,,yarfy & dunnoU,"yarfy, dunnoU, tso",Yarfy,https://overstat.gg/player/2422372.Yarfy/overview,DunnoU,https://overstat.gg/player/2289682.DunnoU/overview,tso,https://overstat.gg/player/2289683.tso/overview,
2024/09/10 5:51:13 PM AST,Waffle Cone,All returning to VESA,"2 contenders, 1 emergent",5,Gold,"Some PC, some console",Yes,,,,,,Stabjackal,Tsf monty,Stabjackal,https://overstat.gg/player/1065768.StabJackal/overview,Tsf monty,https://overstat.gg/player/1120369.tsfmonty/overview,Exillade,https://overstat.gg/player/2170808.Exillade/overview,Can we have a Halloween party this year?
2024/09/10 6:44:08 PM AST,Grow Towers,"1 player returning to VESA, 2 new players","I subbed in S7 of vesa, contenders",3,Platinum,All PC,No,,,,,,G2theRiffin,"angrySandy, gruesomeb",G2theRiffin,https://overstat.gg/player/1167362.G2theRiffin/overview,angrySandy,https://overstat.gg/player/2299783.angrySandy/overview,gruesome_b1,https://overstat.gg/player/53632.gruesome_b1/overview,
