Rank,Team Name,Team Rating,Tier,Player 1,Player 2,Player 3,P1 Rating,P2 Rating,P3 Rating
72,Apex Tee-Ball Team #1,58.63,C,apogaeon,DANimal,Ghostface955,15.90,80.00,80.00
73,BoysNightOut,58.33,C,KindlyMonkey,BNO_Meepmoe6,addedayo,119.55,28.32,27.11
74,TBD,58.01,C,Snozizzle,LuiBeans,iXM1kos,44.18,49.85,80.00
75,Xzile Esports,57.81,C,kaynun,spetzmg,firedragon,55.56,80.00,37.87
76,GRIZZLY,57.75,C,CJtoSmooth,tfairo,dalla588,13.26,80.00,80.00
77,Est Mango Mafia,56.56,C,BIG xhander,EST Wattzz,Mango Burger,63.01,74.40,32.27
78,OV-HO's,56.53,C,Frank Newcastle (EclipseEh),OniHeishi,TommyFronto,80.00,80.00,9.58
79,Cleveland Forge,56.51,C,DWE Mango,Teachdayouth28,DWE Parcifal,59.02,48.35,62.15
80,8th Gate,56.43,C,@cletesensei,StoneyBalogna,sadraichu,9.28,80.00,80.00
81,Powerpuff Girls,56.03,C,Sydney,itsDolonia,Sleepy,33.57,22.79,111.74
82,Moirai Esports,55.98,C,littlehj555,SirNaughty1,Queen_Nessie,80.00,72.98,14.97
83,Casual Gooning,55.94,C,CG BilliardHorn,Mootzel,@ArtemisGG_,49.92,60.39,57.51
84,2 Mice 1 Rat,55.68,C,Double_take,josizino,benjihim,80.00,7.03,80.00
85,Mike's Chill Summer,55.02,C,ChefMike,chill guy kien,SummerLaneGG,96.55,57.59,10.92
86,Beaver Blasters,54.86,C-,Jsmoove90,OE_remydees,Tzunomi,80.00,4.57,80.00
87,Stargazers,54.84,C-,blujay._,Unix IRL,envyxskillet,27.95,97.18,39.39
88,Spawned,54.82,C-,.stoof_,tyreheat,theonewithnobullets,80.00,4.45,80.00
89,THR333 AMIGOS,54.32,C-,x_howdie_x,snowyday,luke304,45.89,37.07,80.00
90,Noble Esports,53.66,C-,Matthew_Moose,Trtle,joaqie,80.00,80.00,0.99
91,WannaBees,53.04,C-,iitznthan,lilderpyy,@WB_Killua,80.00,33.16,45.95
92,Ho Ho Headshots,51.80,C-,xJusGavx,bookworm669,santaklaus2003,60.64,14.77,80.00
93,SHORK,51.14,C-,oalios,Eemmccyy,swagmillion,100.21,22.97,30.24
94,Man or Mouse,51.08,C-,mcdonaldsworker8,Culltures,Ttsugi,50.79,58.78,43.66
95,Temple University,48.99,C-,Siimmplicity,smartgaming,rushdash,27.92,80.00,39.05
96,For The Boys,47.87,C-,FTB | SliceofJAO,FTB | steph,FTB | Hunkulesss,44.16,44.33,55.11
97,Los Pollos Hermanos,47.08,C-,TH | winterdeadeye,imCBITS,ZorraAssassin,76.76,44.61,19.86
98,Rabid,47.02,C-,RBD Toonz,Hound,Tphilly,24.10,36.96,80.00
99,Outcasts,46.72,C-,Xyrosec,xireq,Cyferzn,69.98,8.75,61.42
100,Fearnotz,46.63,C-,Saki <3,AddaxV4-_-,DaS8157,55.83,17.44,66.61
101,Revive and Repeat,46.36,C-,Hurt,TakeitEezy,siyoshiwakona,43.73,80.00,15.36
102,Icarus,46.28,C-,shmovinonya,cashflow,JustTrea,28.38,30.46,80.00
103,Last Chance,45.34,C-,OvP Diablo,shxde,cxedt,35.76,40.46,59.81
104,PHOnomenal,45.20,C-,Gible,alphabet,Monka,24.86,30.74,80.00
105,Geriatric Reflexes,44.30,D+,Enderphor,EagleUSA,Sithopher,47.66,47.85,37.39
106,BERZERKER,42.25,D+,HIKARI @Pann9a,.cleos,stxvnie,24.15,80.00,22.61
107,El Drip,41.36,D+,DRIP_ItsShunny,CapybarasGoRAWRR,DRIP_itsyoboigothy,21.82,59.64,42.63
108,IggyBiggies,41.01,D+,虎Tiger,Meme,nVRequiem,24.59,18.43,80.00
109,BaM,40.77,D+,iiRonnoc,BaM_Clutch,Reavor,55.33,48.25,18.72
110,The Backyard,40.34,D+,ehayes121,MoistKnight2443,Bsteph13,57.19,59.75,4.08
111,Loser Gang,40.14,D+,MyrtleSquirtle,Becka,A_MF_Queen,37.41,46.65,36.37
112,norf norf,39.92,D+,delli,@rbv_sk8ter,Galahad,36.14,41.81,41.81
113,Wagon station,39.43,D+,JuiceboxSlays (washed),AverageDrae,StingraySlapper,65.16,35.90,17.22
114,Cartel,38.29,D+,yumisyzygy,algunangel,g4rhamza,18.17,16.70,80.00
115,Hunting Chuds Bungus,35.59,D+,BungusElite,Raz,Huntingfool,42.99,49.12,14.68
116,LNC,35.45,D+,jo_morales7,XI PuGz,Oniplayr,28.51,23.18,54.65
117,Feint,35.20,D+,faust_aka_furux,Trenzhart,negativerush,45.12,16.81,43.67
118,Wallie Warriors,35.11,D+,ebokfps,harmo,AngelB,13.63,11.71,80.00
119,Last Place Secured,34.77,D,AG Shoya,///baeV,cookiebagels,15.47,59.50,29.33
120,Gravity,34.23,D,Viridae,Cono,Revy2Hands,51.02,15.79,35.89
121,LAM,34.14,D,k_wal8,chalinosanchez,riverdragonz,9.60,80.00,12.82
122,HRD,33.73,D,Rvo,DEKTA_TTV,ha7ch,35.42,24.35,41.44
123,Baked Goods,32.81,D,JEK,MayBPh8L,BakedPotato1213,55.18,19.42,23.83
124,MOTL CONSOLE,31.19,D,MOTL DduckyG,l Belfour l20l,Plaiqu,72.60,16.82,4.15
125,Delirium,30.67,D,Elyruis,IDKTThomas,Red_husky,6.00,6.00,80.00
126,The Misfits,30.12,D,eR4Ticate13,A_Fox_With_Sox,lonewolf4114,29.58,36.27,24.51
127,ACU Esports,30.05,D,ADPT Tdobzz,alexinithegenie,micahiscooyt,5.81,80.00,4.34
128,Strike X,29.73,D,sX_ItsNick,sX Adam1003,Chillzz-v4,40.21,35.59,13.37
129,Purple Cobras,29.12,D,Kbertabifida,Doormatt,PeezleJuice,29.88,19.91,37.58
130,Plus Ultra,27.50,D,@imJhoKing,DizzyJavi,@benjahhim,24.68,38.85,18.97
131,OHH GUARDIAN,27.10,D,Kiuv,kevin nguyen,Ghyst,25.37,31.81,24.12
132,Thought it was safe,26.73,D,ZonkyWonky,Dycoral,CubanoBread,33.92,30.84,15.44
133,Dino Nugs,26.10,D,ayla,Tay_aka_Tyr,ClarkGriswold,30.82,23.73,23.73
134,Straw Hats,25.97,D,KhaoticYang,TTV | TripleThreatG75,Yin Slayys,29.57,34.19,14.17
135,Brownies,25.20,D,cherm,xSetrakusRa,funsizednenax3,45.75,21.06,8.79
136,FALN Esports,25.09,D,Miriahkay19,FALN | JohnnyK,FALN | Stats,15.57,29.98,29.70
137,Triple Threat,23.30,D-,Utterword,Xiph,GASPITZBLESD,32.83,13.89,23.17
138,i see how it is,22.01,D-,i miss her (arenas),Zendikar,Heishi,25.44,26.91,13.68
139,DucK1ng Loko,21.45,D-,K1ng13east,Interstellar Duck,EMB Loko,39.21,11.78,13.38
140,High Tide Ladies,21.10,D-,HTL Keosha,Krit,SwiftieC,26.62,31.03,5.64
141,The Royal Knights,20.91,D-,MrNachoman,kadengibbs,graingerous,27.34,24.12,11.29
142,TGUN,20.32,D-,TGUN_Trivial,TGUN_Turtle,TGUN_Boop,8.56,33.07,19.34
143,Turbo Shandy,18.83,D-,WhySoSweatyy,SPLITBOMB33V2,JRobx,30.64,12.16,13.70
144,Wiggs ball sweat,18.13,D-,yoosmik,slap,stefq_,27.68,11.05,15.67
145,Sakura,17.64,D-,kyuuWar,Sangre2Day,WickedArcher,18.62,24.50,9.80
146,RH Esports,12.92,D-,L0D Death Wulf,JetWatt,nathanbradley54,8.62,22.74,7.38
147,Ardor Impact,12.25,D-,AI Conger,AI JoJoi,Biomains,14.21,12.74,9.80
148,NordikSyncUniverse,11.50,D-,SUA_Idle,SU L3Punk,RayJi,14.07,10.99,9.45
149,Motion,10.89,D-,xxDaji,@NotBrooklynn,andra ∞,13.46,11.92,7.30
150,Reales,10.14,D-,Gachu,hcmeeks,camaleonrosado,14.25,12.71,3.47
151,Karasuno,9.18,D-,@SonnyD_,MannyFnG,ygphiend,13.10,7.22,7.22
152,Mavericks,9.04,D-,Leadoffplague,iamZalzar,WhiffySkate | From Home Depot |,12.47,9.53,5.12
153,Apexolotls,7.58,D-,Jubella,TexasTrash9,Greywaren99,5.25,16.66,0.84
154,The BooBees,5.95,D-,StonyBolognaa | Twitch,kit_katt52,LilMissGallop,4.28,0.46,13.10
155,GOM Squad,5.60,D-,Phuzzapa,Flanksteak,RageKage,8.23,1.81,6.76
156,Chill guys,3.35,D-,HoodieAnimal,BABYJOKWR,CSG-HOIIOW,0.96,5.49,3.59
