Rank,Player Name,Division,Final Score (50/50),Individual Score,Team Score,Kills,Damage,Lobby Weight
46,Cezr,Ascendant,388.39,410.00,187.52,41,0,0.64
47,DarkApex,Pinnacle (Highest Skill),386.75,340.00,255.00,34,0,1.0
48,Lau,Pinnacle (Highest Skill),386.10,330.00,264.00,33,0,1.0
49,Frank Newcastle,Challengers,384.28,460.00,131.20,46,0,0.41
50,Baughty,Challengers,382.19,490.00,97.99,49,0,0.41
51,Crash,Ascendant,380.85,440.00,145.92,44,0,0.64
52,Gav.MLNT,Ascendant,379.08,420.00,163.20,42,0,0.64
53,Fartman,Ascendant,372.53,440.00,133.12,44,0,0.64
54,Waly,Ascendant,369.30,460.00,108.16,46,0,0.64
55,asome005,Challengers,364.93,470.00,91.43,47,0,0.41
56,YANKEE 6 XRAY,Ascendant,363.64,450.00,109.44,45,0,0.64
57,xThinkso,Ascendant,363.53,350.00,209.28,35,0,0.64
58,Doctor Eloc,Tendies (Lowest Skill),360.54,490.00,64.68,49,0,0.33
59,HaKobo,Challengers,356.19,450.00,97.99,45,0,0.41
60,ColedColedWorld,Ascendant,352.92,390.00,152.96,39,0,0.64
61,ButterMyBreadWB,Vanguard,352.82,390.00,152.80,39,0,0.8
62,Jinkx,Ascendant,350.58,380.00,159.36,38,0,0.64
63,Zboy5z5,Pinnacle (Highest Skill),349.05,300.00,237.00,30,0,1.0
64,Saki <3,Emergent,347.59,420.00,114.75,42,0,0.51
65,x_howdie_x,Tendies (Lowest Skill),344.32,470.00,59.73,47,0,0.33
66,DWE Parcifal,Challengers,341.33,430.00,95.12,43,0,0.41
67,DWE Mango,Challengers,341.06,430.00,94.71,43,0,0.41
68,AUTHOR,Ascendant,340.18,380.00,143.36,38,0,0.64
69,garbunk,Vanguard,338.26,370.00,150.40,37,0,0.8
70,Deetray,Pinnacle (Highest Skill),338.00,360.00,160.00,36,0,1.0
71,Syndicate50,Challengers,337.12,410.00,108.65,41,0,0.41
72,boobert,Emergent,337.05,440.00,78.54,44,0,0.51
73,Hova,Challengers,334.83,420.00,95.12,42,0,0.41
74,MannikTV,Ascendant,334.36,380.00,134.40,38,0,0.64
75,A Big Ahh Turd,Pinnacle (Highest Skill),330.85,310.00,199.00,31,0,1.0
76,Kevin,Ascendant,330.82,420.00,88.96,42,0,0.64
77,Enderphor,Challengers,329.71,440.00,67.24,44,0,0.41
78,Jakoby,Pinnacle (Highest Skill),329.55,280.00,227.00,28,0,1.0
79,100T sheppyk9,Tendies (Lowest Skill),328.69,440.00,65.67,44,0,0.33
80,Mr_Hands_20,Challengers,327.01,360.00,143.09,36,0,0.41
81,Pandaz809,Emergent,326.29,350.00,151.98,35,0,0.51
82,Lawlipawp,Ascendant,325.94,360.00,141.44,36,0,0.64
83,zegion,Vanguard,325.26,350.00,150.40,35,0,0.8
84,RAGNA_Viper,Tendies (Lowest Skill),322.19,430.00,65.67,43,0,0.33
85,ehayes121,Challengers,321.77,420.00,75.03,42,0,0.41
86,OniHeishiVT,Emergent,319.14,390.00,100.98,39,0,0.51
87,bradyvision,Challengers,318.69,380.00,110.29,38,0,0.41
88,Potter,Emergent,317.75,420.00,68.85,42,0,0.51
89,Gas Daddy,Pinnacle (Highest Skill),317.20,210.00,278.00,21,0,1.0
90,twitch.tv/apguapo,Vanguard,317.20,400.00,88.00,40,0,0.8
91,Kryo,Vanguard,313.04,360.00,121.60,36,0,0.8
92,The Real Slim Shady,Tendies (Lowest Skill),312.10,430.00,50.16,43,0,0.33
93,An7,Pinnacle (Highest Skill),309.40,290.00,186.00,29,0,1.0
94,ejustice74,Ascendant,307.42,320.00,152.96,32,0,0.64
95,Draigo,Vanguard,304.20,340.00,128.00,34,0,0.8
96,SolisStreams,Challengers,301.41,410.00,53.71,41,0,0.41
97,jaundyy666,Vanguard,301.08,320.00,143.20,32,0,0.8
98,GGMantisToboggan,Challengers,297.69,360.00,97.99,36,0,0.41
99,eidolon,Pinnacle (Highest Skill),296.40,290.00,166.00,29,0,1.0
100,Mootzel,Emergent,295.53,370.00,84.66,37,0,0.51
101,LVS_Soda,Pinnacle (Highest Skill),293.80,310.00,142.00,31,0,1.0
102,hatch,Vanguard,292.76,340.00,110.40,34,0,0.8
103,0ptical,Pinnacle (Highest Skill),291.85,270.00,179.00,27,0,1.0
104,MOTL DduckyG,Challengers,291.52,330.00,118.49,33,0,0.41
105,Hobojo,Emergent,289.82,350.00,95.88,35,0,0.51
106,TH | winterdeadeye,Ascendant,289.38,330.00,115.20,33,0,0.64
107,PGK,Pinnacle (Highest Skill),287.95,270.00,173.00,27,0,1.0
108,Fuzz,Ascendant,287.09,290.00,151.68,29,0,0.64
109,Noxums,Vanguard,286.78,290.00,151.20,29,0,0.8
110,Lastcall,Pinnacle (Highest Skill),286.65,270.00,171.00,27,0,1.0
111,xXx,Pinnacle (Highest Skill),285.35,280.00,159.00,28,0,1.0
112,Gator Needs His Gat,Emergent,284.85,350.00,88.23,35,0,0.51
113,spaceman,Pinnacle (Highest Skill),284.70,270.00,168.00,27,0,1.0
114,JuiceboxSlays (washed),Challengers,284.58,380.00,57.81,38,0,0.41
115,SOAK Wobbla,Emergent,284.50,300.00,137.70,30,0,0.51
116,FlareNotFlair,Pinnacle (Highest Skill),284.05,300.00,137.00,30,0,1.0
117,Double-Take,Vanguard,283.40,300.00,136.00,30,0,0.8
118,pat,Emergent,279.34,340.00,89.76,34,0,0.51
119,mauシ,Pinnacle (Highest Skill),278.20,250.00,178.00,25,0,1.0
120,Almanymede,Pinnacle (Highest Skill),276.90,240.00,186.00,24,0,1.0
121,claud,Tendies (Lowest Skill),273.47,360.00,60.72,36,0,0.33
122,DosEquisMan,Tendies (Lowest Skill),273.10,370.00,50.16,37,0,0.33
123,ESTEFY,Vanguard,272.48,300.00,119.20,30,0,0.8
124,NØKK,Pinnacle (Highest Skill),272.35,260.00,159.00,26,0,1.0
125,MattyK3NG,Ascendant,271.65,240.00,177.92,24,0,0.64
126,goddamnironman,Challengers,269.83,320.00,95.12,32,0,0.41
127,Frogs,Emergent,269.40,340.00,74.46,34,0,0.51
128,ThisIsMig | Twitch,Ascendant,268.94,280.00,133.76,28,0,0.64
129,zG_Stifle,Challengers,266.25,360.00,49.61,36,0,0.41
130,goodlookingsean,Pinnacle (Highest Skill),265.20,250.00,158.00,25,0,1.0
131,TwelveGage,Ascendant,263.38,290.00,115.20,29,0,0.64
132,ジム,Vanguard,261.82,290.00,112.80,29,0,0.8
133,LAZY3D,Pinnacle (Highest Skill),260.00,240.00,160.00,24,0,1.0
134,Indy,Ascendant,258.80,290.00,108.16,29,0,0.64
135,iiRonnoc,Ascendant,258.65,300.00,97.92,30,0,0.64
136,chill guy kien,Challengers,258.43,300.00,97.58,30,0,0.41
137,Krit,Tendies (Lowest Skill),257.81,360.00,36.63,36,0,0.33
138,Goomba on a Roomba,Ascendant,256.62,270.00,124.80,27,0,0.64
139,Jack,Tendies (Lowest Skill),255.02,360.00,32.34,36,0,0.33
140,Heret1c,Vanguard,254.80,300.00,92.00,30,0,0.8
141,StoneSpy946,Emergent,253.34,300.00,89.76,30,0,0.51
142,TH | BalynceLIVE,Ascendant,250.59,310.00,75.52,31,0,0.64
143,JEK,Emergent,250.10,320.00,64.77,32,0,0.51
144,PRDX_Jokr,Challengers,249.57,320.00,63.96,32,0,0.41
145,find0utt_TTV,Ascendant,248.87,260.00,122.88,26,0,0.64
146,RBD | Toonz,Challengers,248.61,330.00,52.48,33,0,0.41
147,Xiums,Vanguard,248.04,260.00,121.60,26,0,0.8
148,Ltto.,Pinnacle (Highest Skill),246.35,220.00,159.00,22,0,1.0
149,amon,Vanguard,244.40,280.00,96.00,28,0,0.8
150,ChaosGoesLive,Emergent,242.27,310.00,62.73,31,0,0.51
151,cudi,Pinnacle (Highest Skill),239.85,190.00,179.00,19,0,1.0
152,J DAWG,Ascendant,239.15,270.00,97.92,27,0,0.64
153,mati,Vanguard,237.64,240.00,125.60,24,0,0.8
154,weird fishes,Vanguard,237.38,270.00,95.20,27,0,0.8
155,BrandoCommando,Pinnacle (Highest Skill),237.25,240.00,125.00,24,0,1.0
156,PRDX_kraknn,Challengers,236.57,300.00,63.96,30,0,0.41
157,Gee_Spree,Ascendant,236.03,230.00,133.12,23,0,0.64
158,blanK,Vanguard,235.82,250.00,112.80,25,0,0.8
159,G2theRiffin,Challengers,234.97,300.00,61.50,30,0,0.41
160,I3otox_,Tendies (Lowest Skill),234.47,300.00,60.72,30,0,0.33
161,Xzavier,Vanguard,233.22,270.00,88.80,27,0,0.8
162,Wolfer,Vanguard,233.22,270.00,88.80,27,0,0.8
163,FALN | Stats,Challengers,232.47,290.00,67.65,29,0,0.41
164,FALN | JohnnyK,Challengers,232.31,300.00,57.40,30,0,0.41
165,Kolosusx,Emergent,232.06,280.00,77.01,28,0,0.51
166,ChosenSky,Pinnacle (Highest Skill),231.40,230.00,126.00,23,0,1.0
167,Hurt,Tendies (Lowest Skill),229.04,290.00,62.37,29,0,0.33
168,HA1L RG3,Challengers,227.41,290.00,59.86,29,0,0.41
169,BobbyBooshayy,Emergent,227.34,260.00,89.76,26,0,0.51
170,Cyferzn,Vanguard,227.24,240.00,109.60,24,0,0.8
171,BaM_Clutch,Ascendant,226.15,250.00,97.92,25,0,0.64
172,Becka,Tendies (Lowest Skill),226.10,300.00,47.85,30,0,0.33
173,US-Fakezi,Ascendant,225.89,240.00,107.52,24,0,0.64
174,Bvtterr,Pinnacle (Highest Skill),224.90,200.00,146.00,20,0,1.0
175,:O,Emergent,224.89,270.00,75.99,27,0,0.51
176,FSU_TacticalMyst,Challengers,223.63,260.00,84.05,26,0,0.41
177,FTB | Hunkulesss,Challengers,222.40,270.00,72.16,27,0,0.41
178,Quip,Ascendant,222.09,190.00,151.68,19,0,0.64
179,uhPrxzn,Pinnacle (Highest Skill),221.00,240.00,100.00,24,0,1.0
180,EagleUSA,Challengers,219.47,270.00,67.65,27,0,0.41
181,imCBITS,Vanguard,219.18,250.00,87.20,25,0,0.8
182,TsF MonTy,Tendies (Lowest Skill),217.54,270.00,64.68,27,0,0.33
183,TheGunner2533,Challengers,214.84,260.00,70.52,26,0,0.41
184,ChefMike,Emergent,214.08,260.00,69.36,26,0,0.51
185,ImTheBigFork,Vanguard,213.72,240.00,88.80,24,0,0.8
186,MyrtleSquirtle,Tendies (Lowest Skill),213.10,280.00,47.85,28,0,0.33
187,F5 | Big Ab,Pinnacle (Highest Skill),212.55,240.00,87.00,24,0,1.0
188,[Experimental AI Bot]29.319.17,Ascendant,212.16,240.00,86.40,24,0,0.64
189,HotKnockz,Pinnacle (Highest Skill),211.90,240.00,86.00,24,0,1.0
190,Kitkat >:),Emergent,211.89,250.00,75.99,25,0,0.51
191,PRDX_Ayywire,Challengers,210.57,260.00,63.96,26,0,0.41
192,XI PuGz,Emergent,210.31,270.00,53.55,27,0,0.51
193,旋風,Vanguard,209.82,210.00,112.80,21,0,0.8
194,FSC | SantaKlaus,Tendies (Lowest Skill),209.09,290.00,31.68,29,0,0.33
195,Coveted Yams,Challengers,207.70,240.00,79.54,24,0,0.41
196,Calbeast,Ascendant,207.64,210.00,109.44,21,0,0.64
197,Xyrosec,Ascendant,206.08,230.00,87.04,23,0,0.64
198,///Mikey,Ascendant,205.66,230.00,86.40,23,0,0.64
199,addedayo,Tendies (Lowest Skill),205.17,280.00,35.64,28,0,0.33
200,MoistKnight2443,Challengers,204.24,240.00,74.21,24,0,0.41
201,A_MF_Queen,Tendies (Lowest Skill),203.81,270.00,43.56,27,0,0.33
202,Figgy14,Challengers,203.01,250.00,62.32,25,0,0.41
203,FTB | steph,Challengers,202.90,240.00,72.16,24,0,0.41
204,LVS_TurtleMan,Pinnacle (Highest Skill),202.80,170.00,142.00,17,0,1.0
205,Chudbudwalker,Emergent,202.28,250.00,61.20,25,0,0.51
206,BklynzKilla90,Vanguard,200.72,220.00,88.80,22,0,0.8
207,Aero,Vanguard,198.38,210.00,95.20,21,0,0.8
208,TTV/Fishiness,Challengers,197.25,260.00,43.46,26,0,0.41
209,Bungus Elite,Emergent,196.57,230.00,72.42,23,0,0.51
210,Exillade,Ascendant,195.00,220.00,80.00,22,0,0.64
211,snowyday_,Tendies (Lowest Skill),194.82,240.00,59.73,24,0,0.33
212,Beanboy,Emergent,194.12,240.00,58.65,24,0,0.51
213,StingraySlapper,Challengers,193.58,240.00,57.81,24,0,0.41
214,AngryS0da,Emergent,193.26,230.00,67.32,23,0,0.51
215,Bolbi Stroganovsky,Emergent,192.39,220.00,75.99,22,0,0.51
216,indigocross92,Emergent,192.12,190.00,105.57,19,0,0.51
217,oalios,Vanguard,191.88,160.00,135.20,16,0,0.8
218,Haki,Vanguard,191.88,180.00,115.20,18,0,0.8
219,ENVYxSkillet,Vanguard,190.32,200.00,92.80,20,0,0.8
220,RBD yonewdaddy,Challengers,190.27,230.00,62.73,23,0,0.41
221,TurtlFPS,Vanguard,190.06,190.00,102.40,19,0,0.8
222,THEOZINBOY,Pinnacle (Highest Skill),189.80,200.00,92.00,20,0,1.0
223,I_am_that_guy_59,Challengers,189.43,200.00,91.43,20,0,0.41
224,Raz,Emergent,189.28,230.00,61.20,23,0,0.51
225,DEKTA_TTV,Vanguard,189.02,210.00,80.80,21,0,0.8
226,Penguinii,Pinnacle (Highest Skill),188.50,200.00,90.00,20,0,1.0
227,AS1AN M1KE,Challengers,188.14,230.00,59.45,23,0,0.41
228,EST Wattzz,Vanguard,186.68,180.00,107.20,18,0,0.8
229,Mysteryz,Pinnacle (Highest Skill),186.55,200.00,87.00,20,0,1.0
230,TGUN_Turtle,Vanguard,183.82,190.00,92.80,19,0,0.8
231,impish,Emergent,182.45,220.00,60.69,22,0,0.51
232,F5 | ntROZE,Vanguard,181.74,210.00,69.60,21,0,0.8
233,OpNate,Ascendant,181.53,230.00,49.28,23,0,0.64
234,offkilter,Ascendant,180.60,210.00,67.84,21,0,0.64
235,eR4Ticate13,Tendies (Lowest Skill),180.45,240.00,37.62,24,0,0.33
236,Truth,Vanguard,179.40,180.00,96.00,18,0,0.8
237,DWE TTV Teach Da Youth,Challengers,178.87,210.00,65.19,21,0,0.41
238,@ArtemisGG_,Emergent,178.86,190.00,85.17,19,0,0.51
239,JackHeDoesIt,Tendies (Lowest Skill),178.67,230.00,44.88,23,0,0.33
240,K1ng13east,Emergent,178.40,200.00,74.46,20,0,0.51
241,bookworm669,Emergent,176.81,220.00,52.02,22,0,0.51
242,Scarab6232,Emergent,175.34,180.00,89.76,18,0,0.51
243,HecTicAstro,Ascendant,174.93,200.00,69.12,20,0,0.64
244,mer,Tendies (Lowest Skill),174.10,220.00,47.85,22,0,0.33
245,KfroJenner69,Ascendant,174.10,200.00,67.84,20,0,0.64
246,Pen5guin,Pinnacle (Highest Skill),172.25,150.00,115.00,15,0,1.0
247,[DAD] Nars Lootbaar,Tendies (Lowest Skill),172.04,200.00,64.68,20,0,0.33
248,SOAK Palms,Ascendant,171.76,190.00,74.24,19,0,0.64
249,laceycs,Emergent,171.11,200.00,63.24,20,0,0.51
250,OE_MrBr0jangless,Tendies (Lowest Skill),170.46,220.00,42.24,22,0,0.33
251,ClarkGriswold,Ascendant,170.09,190.00,71.68,19,0,0.64
252,Keko75FTW,Tendies (Lowest Skill),169.88,230.00,31.35,23,0,0.33
253,Supreme,Emergent,169.45,200.00,60.69,20,0,0.51
254,waz ee,Pinnacle (Highest Skill),169.00,160.00,100.00,16,0,1.0
255,Frijol3s03,Vanguard,168.74,190.00,69.60,19,0,0.8
256,Eppie,Emergent,168.38,180.00,79.05,18,0,0.51
257,SilentRyft,Pinnacle (Highest Skill),168.35,200.00,59.00,20,0,1.0
258,1L Fallen,Vanguard,167.18,190.00,67.20,19,0,0.8
259,F5|GsQ BloomDion,Pinnacle (Highest Skill),167.05,160.00,97.00,16,0,1.0
260,CJtoSmooth,Ascendant,166.35,190.00,65.92,19,0,0.64
261,WhySoSweatyy,Challengers,166.19,220.00,35.67,22,0,0.41
262,Meepmoe6,Tendies (Lowest Skill),165.03,210.00,43.89,21,0,0.33
263,Unix_IRL,Vanguard,163.54,170.00,81.60,17,0,0.8
264,Cherm,Emergent,163.41,180.00,71.40,18,0,0.51
265,muchmixture9,Emergent,163.14,150.00,100.98,15,0,0.51
266,negativerush,Tendies (Lowest Skill),162.32,190.00,59.73,19,0,0.33
267,FTB | SliceOfJAO,Challengers,161.88,190.00,59.04,19,0,0.41
268,Miriahkay19,Challengers,161.28,210.00,38.13,21,0,0.41
269,narwhal,Tendies (Lowest Skill),161.17,210.00,37.95,21,0,0.33
270,Sithopher,Challengers,160.97,180.00,67.65,18,0,0.41
271,Nedlock ネドロック,Vanguard,159.90,170.00,76.00,17,0,0.8
272,iiNovationii,Tendies (Lowest Skill),159.69,180.00,65.67,18,0,0.33
273,MikieDelliii,Tendies (Lowest Skill),159.17,200.00,44.88,20,0,0.33
274,R A P T U R E,Pinnacle (Highest Skill),157.30,130.00,112.00,13,0,1.0
275,FSC | Fishiness,Tendies (Lowest Skill),157.09,210.00,31.68,21,0,0.33
276,Karnivorrr,Challengers,156.34,170.00,70.52,17,0,0.41
277,furryCheese,Vanguard,156.26,170.00,70.40,17,0,0.8
278,CheezySlice,Tendies (Lowest Skill),155.81,210.00,29.70,21,0,0.33
279,NRG ltto.,Vanguard,155.48,140.00,99.20,14,0,0.8
280,Twitch | lAlliegatorl,Vanguard,154.96,160.00,78.40,16,0,0.8
281,CG BilliardHorn,Emergent,154.39,160.00,77.52,16,0,0.51
282,s,Vanguard,152.88,160.00,75.20,16,0,0.8
283,AllieFPS | Twitch,Pinnacle (Highest Skill),149.50,130.00,100.00,13,0,1.0
284,AverageDrae,Challengers,148.08,170.00,57.81,17,0,0.41
285,lonewolf4114,Tendies (Lowest Skill),147.95,190.00,37.62,19,0,0.33
286,iklipsa,Ascendant,147.63,190.00,37.12,19,0,0.64
287,the-optimistic-stoic,Ascendant,144.77,160.00,62.72,16,0,0.64
288,SpectacularlyAvg,Challengers,144.55,190.00,32.39,19,0,0.41
289,YoTakeItEezy,Tendies (Lowest Skill),144.54,160.00,62.37,16,0,0.33
290,ayla,Ascendant,144.09,150.00,71.68,15,0,0.64
291,chris k,Pinnacle (Highest Skill),143.65,140.00,81.00,14,0,1.0
292,XHANABUSER,Vanguard,142.74,110.00,109.60,11,0,0.8
293,fyf,Vanguard,141.96,140.00,78.40,14,0,0.8
294,OE_remydees,Tendies (Lowest Skill),141.73,190.00,28.05,19,0,0.33
295,Greywaren99,Challengers,141.41,170.00,47.56,17,0,0.41
296,Tomboys > Femboys,Vanguard,139.88,100.00,115.20,10,0,0.8
297,Epickiller17,Pinnacle (Highest Skill),139.75,90.00,125.00,9,0,1.0
298,Slim_Thor on twitch,Tendies (Lowest Skill),137.81,180.00,32.01,18,0,0.33
299,DirtyVerdy_,Tendies (Lowest Skill),137.16,180.00,31.02,18,0,0.33
300,phokkyu,Emergent,135.75,140.00,68.85,14,0,0.51
301,SoleSky,Emergent,135.75,140.00,68.85,14,0,0.51
302,Hud,Emergent,135.62,150.00,58.65,15,0,0.51
303,A_Fox_With_Sox,Tendies (Lowest Skill),134.95,170.00,37.62,17,0,0.33
304,EXL Unordinary ekiM,Vanguard,134.16,120.00,86.40,12,0,0.8
305,XEL.Bpsword.Twitch,Ascendant,133.85,140.00,65.92,14,0,0.64
306,Samus54,Tendies (Lowest Skill),133.45,170.00,35.31,17,0,0.33
307,Drizzy,Pinnacle (Highest Skill),131.95,160.00,43.00,16,0,1.0
308,TONYPIKACHU,Vanguard,131.56,120.00,82.40,12,0,0.8
309,Prosperitv,Tendies (Lowest Skill),131.52,170.00,32.34,17,0,0.33
310,MaschidezinTV,Challengers,131.51,140.00,62.32,14,0,0.41
311,Sleeping,Pinnacle (Highest Skill),130.00,110.00,90.00,11,0,1.0
312,RG_ItsNick,Tendies (Lowest Skill),129.74,160.00,39.60,16,0,0.33
313,EXL_LEEROYY,Vanguard,128.18,150.00,47.20,15,0,0.8
314,DASLEDGEHAMMER,Pinnacle (Highest Skill),127.40,70.00,126.00,7,0,1.0
315,CantGetAway,Pinnacle (Highest Skill),127.40,110.00,86.00,11,0,1.0
316,Tay,Ascendant,127.19,140.00,55.68,14,0,0.64
317,TheHeuman,Pinnacle (Highest Skill),125.45,90.00,103.00,9,0,1.0
318,RBD Hound,Challengers,125.27,130.00,62.73,13,0,0.41
319,ZeroGLHF,Vanguard,125.06,110.00,82.40,11,0,0.8
320,Poptart,Emergent,125.01,150.00,42.33,15,0,0.51
321,Kbertabifida,Tendies (Lowest Skill),124.81,160.00,32.01,16,0,0.33
322,i miss her,Vanguard,124.54,130.00,61.60,13,0,0.8
323,AmericanMan,Vanguard,124.28,100.00,91.20,10,0,0.8
324,RG Adam10,Tendies (Lowest Skill),123.24,150.00,39.60,15,0,0.33
325,el diablo rojo,Ascendant,122.93,120.00,69.12,12,0,0.64
326,A,Vanguard,122.72,140.00,48.80,14,0,0.8
327,rrroselia,Emergent,122.29,130.00,58.14,13,0,0.51
328,Haightful,Ascendant,122.10,120.00,67.84,12,0,0.64
329,Diadem2721|Live,Ascendant,122.10,120.00,67.84,12,0,0.64
330,Keosha,Tendies (Lowest Skill),121.31,150.00,36.63,15,0,0.33
331,Medic x Frieren,Vanguard,121.16,120.00,66.40,12,0,0.8
332,amieable,Tendies (Lowest Skill),120.45,150.00,35.31,15,0,0.33
333,Rvo,Vanguard,120.12,140.00,44.80,14,0,0.8
334,F5 | Stabjackal TTV,Ascendant,119.81,80.00,104.32,8,0,0.64
335,JO x claw,Emergent,119.64,130.00,54.06,13,0,0.51
336,BACKSP4CEッ,Pinnacle (Highest Skill),119.60,130.00,54.00,13,0,1.0
337,caro,Pinnacle (Highest Skill),119.60,130.00,54.00,13,0,1.0
338,Bsteph13,Challengers,119.14,130.00,53.30,13,0,0.41
339,JRobx,Challengers,118.55,150.00,32.39,15,0,0.41
340,Revy2hands,Emergent,118.51,140.00,42.33,14,0,0.51
341,BakedPotato1213,Emergent,117.98,130.00,51.51,13,0,0.51
342,RG_CPTMurph24,Tendies (Lowest Skill),116.74,140.00,39.60,14,0,0.33
343,MJ5044,Ascendant,116.64,70.00,109.44,7,0,0.64
344,Eclipsie13,Vanguard,116.22,90.00,88.80,9,0,0.8
345,@Arise__FPS,Pinnacle (Highest Skill),115.70,120.00,58.00,12,0,1.0
346,m2,Vanguard,114.92,80.00,96.80,8,0,0.8
347,LVS_Falcon,Vanguard,114.66,110.00,66.40,11,0,0.8
348,siyoshiwakona,Emergent,114.54,140.00,36.21,14,0,0.51
349,SlyTitan,Pinnacle (Highest Skill),113.10,130.00,44.00,13,0,1.0
350,mildly boof,Tendies (Lowest Skill),111.81,140.00,32.01,14,0,0.33
351,FSC | shape,Tendies (Lowest Skill),111.59,140.00,31.68,14,0,0.33
352,Eddy,Vanguard,110.24,100.00,69.60,10,0,0.8
353,Pxrmafrxstt,Pinnacle (Highest Skill),109.20,100.00,68.00,10,0,1.0
354,Durxy,Pinnacle (Highest Skill),107.25,110.00,55.00,11,0,1.0
355,BossBBALLER101,Tendies (Lowest Skill),107.17,120.00,44.88,12,0,0.33
356,Graffix,Vanguard,105.56,80.00,82.40,8,0,0.8
357,zCrackdown,Pinnacle (Highest Skill),105.30,50.00,112.00,5,0,1.0
358,Zorro,Pinnacle (Highest Skill),102.70,110.00,48.00,11,0,1.0
359,Majeta23,Vanguard,97.76,80.00,70.40,8,0,0.8
360,h u s k y,Tendies (Lowest Skill),97.31,120.00,29.70,12,0,0.33
361,FALN | cwelk,Challengers,97.19,120.00,29.52,12,0,0.41
362,estrella,Vanguard,96.98,90.00,59.20,9,0,0.8
363,JFairo,Ascendant,96.72,120.00,28.80,12,0,0.64
364,Gible,Tendies (Lowest Skill),95.22,130.00,16.50,13,0,0.33
365,Dom,Vanguard,93.08,100.00,43.20,10,0,0.8
366,splitbomb33,Challengers,91.12,100.00,40.18,10,0,0.41
367,波打つヘッドハンタ,Vanguard,91.00,80.00,60.00,8,0,0.8
368,EXL_KNGKUMO,Pinnacle (Highest Skill),89.70,100.00,38.00,10,0,1.0
369,Childish,Vanguard,88.66,110.00,26.40,11,0,0.8
370,jo_morales7,Emergent,87.14,80.00,54.06,8,0,0.51
