Rank,Player Name,Division,Final Score (70/30),Individual Score,Team Score,Kills,Damage,Lobby Weight
161,Xzavier,Vanguard,215.64,270.00,88.80,27,0,0.8
162,Wolfer,Vanguard,215.64,270.00,88.80,27,0,0.8
163,FSC | SantaKlaus,Tendies (Lowest Skill),212.50,290.00,31.68,29,0,0.33
164,:O,Emergent,211.80,270.00,75.99,27,0,0.51
165,FTB | Hunkulesss,Challengers,210.65,270.00,72.16,27,0,0.41
166,MyrtleSquirtle,Tendies (Lowest Skill),210.35,280.00,47.85,28,0,0.33
167,EagleUSA,Challengers,209.29,270.00,67.65,27,0,0.41
168,BobbyBooshayy,Emergent,208.93,260.00,89.76,26,0,0.51
169,blanK,Vanguard,208.84,250.00,112.80,25,0,0.8
170,TsF MonTy,Tendies (Lowest Skill),208.40,270.00,64.68,27,0,0.33
171,FSU_TacticalMyst,Challengers,207.22,260.00,84.05,26,0,0.41
172,addedayo,Tendies (Lowest Skill),206.69,280.00,35.64,28,0,0.33
173,mati,Vanguard,205.68,240.00,125.60,24,0,0.8
174,BrandoCommando,Pinnacle (Highest Skill),205.50,240.00,125.00,24,0,1.0
175,XI PuGz,Emergent,205.06,270.00,53.55,27,0,0.51
176,BaM_Clutch,Ascendant,204.38,250.00,97.92,25,0,0.64
177,TheGunner2533,Challengers,203.16,260.00,70.52,26,0,0.41
178,ChefMike,Emergent,202.81,260.00,69.36,26,0,0.51
179,A_MF_Queen,Tendies (Lowest Skill),202.07,270.00,43.56,27,0,0.33
180,Ltto.,Pinnacle (Highest Skill),201.70,220.00,159.00,22,0,1.0
181,PRDX_Ayywire,Challengers,201.19,260.00,63.96,26,0,0.41
182,imCBITS,Vanguard,201.16,250.00,87.20,25,0,0.8
183,Gee_Spree,Ascendant,200.94,230.00,133.12,23,0,0.64
184,Cyferzn,Vanguard,200.88,240.00,109.60,24,0,0.8
185,US-Fakezi,Ascendant,200.26,240.00,107.52,24,0,0.64
186,ChosenSky,Pinnacle (Highest Skill),198.80,230.00,126.00,23,0,1.0
187,uhPrxzn,Pinnacle (Highest Skill),198.00,240.00,100.00,24,0,1.0
188,Kitkat >:),Emergent,197.80,250.00,75.99,25,0,0.51
189,TTV/Fishiness,Challengers,195.04,260.00,43.46,26,0,0.41
190,ImTheBigFork,Vanguard,194.64,240.00,88.80,24,0,0.8
191,F5 | Big Ab,Pinnacle (Highest Skill),194.10,240.00,87.00,24,0,1.0
192,[Experimental AI Bot]29.319.17,Ascendant,193.92,240.00,86.40,24,0,0.64
193,HotKnockz,Pinnacle (Highest Skill),193.80,240.00,86.00,24,0,1.0
194,Figgy14,Challengers,193.70,250.00,62.32,25,0,0.41
195,Chudbudwalker,Emergent,193.36,250.00,61.20,25,0,0.51
196,Coveted Yams,Challengers,191.86,240.00,79.54,24,0,0.41
197,MoistKnight2443,Challengers,190.26,240.00,74.21,24,0,0.41
198,FTB | steph,Challengers,189.65,240.00,72.16,24,0,0.41
199,Xyrosec,Ascendant,187.11,230.00,87.04,23,0,0.64
200,///Mikey,Ascendant,186.92,230.00,86.40,23,0,0.64
201,cudi,Pinnacle (Highest Skill),186.70,190.00,179.00,19,0,1.0
202,snowyday_,Tendies (Lowest Skill),185.92,240.00,59.73,24,0,0.33
203,Beanboy,Emergent,185.59,240.00,58.65,24,0,0.51
204,StingraySlapper,Challengers,185.34,240.00,57.81,24,0,0.41
205,Bvtterr,Pinnacle (Highest Skill),183.80,200.00,146.00,20,0,1.0
206,Bungus Elite,Emergent,182.73,230.00,72.42,23,0,0.51
207,AngryS0da,Emergent,181.20,230.00,67.32,23,0,0.51
208,旋風,Vanguard,180.84,210.00,112.80,21,0,0.8
209,BklynzKilla90,Vanguard,180.64,220.00,88.80,22,0,0.8
210,Calbeast,Ascendant,179.83,210.00,109.44,21,0,0.64
211,RBD yonewdaddy,Challengers,179.82,230.00,62.73,23,0,0.41
212,Raz,Emergent,179.36,230.00,61.20,23,0,0.51
213,eR4Ticate13,Tendies (Lowest Skill),179.29,240.00,37.62,24,0,0.33
214,AS1AN M1KE,Challengers,178.84,230.00,59.45,23,0,0.41
215,Quip,Ascendant,178.50,190.00,151.68,19,0,0.64
216,Exillade,Ascendant,178.00,220.00,80.00,22,0,0.64
217,Bolbi Stroganovsky,Emergent,176.80,220.00,75.99,22,0,0.51
218,OpNate,Ascendant,175.78,230.00,49.28,23,0,0.64
219,Aero,Vanguard,175.56,210.00,95.20,21,0,0.8
220,JackHeDoesIt,Tendies (Lowest Skill),174.46,230.00,44.88,23,0,0.33
221,impish,Emergent,172.21,220.00,60.69,22,0,0.51
222,DEKTA_TTV,Vanguard,171.24,210.00,80.80,21,0,0.8
223,Keko75FTW,Tendies (Lowest Skill),170.41,230.00,31.35,23,0,0.33
224,bookworm669,Emergent,169.61,220.00,52.02,22,0,0.51
225,mer,Tendies (Lowest Skill),168.35,220.00,47.85,22,0,0.33
226,F5 | ntROZE,Vanguard,167.88,210.00,69.60,21,0,0.8
227,ENVYxSkillet,Vanguard,167.84,200.00,92.80,20,0,0.8
228,THEOZINBOY,Pinnacle (Highest Skill),167.60,200.00,92.00,20,0,1.0
229,I_am_that_guy_59,Challengers,167.43,200.00,91.43,20,0,0.41
230,offkilter,Ascendant,167.35,210.00,67.84,21,0,0.64
231,Penguinii,Pinnacle (Highest Skill),167.00,200.00,90.00,20,0,1.0
232,OE_MrBr0jangless,Tendies (Lowest Skill),166.67,220.00,42.24,22,0,0.33
233,DWE TTV Teach Da Youth,Challengers,166.56,210.00,65.19,21,0,0.41
234,Mysteryz,Pinnacle (Highest Skill),166.10,200.00,87.00,20,0,1.0
235,WhySoSweatyy,Challengers,164.70,220.00,35.67,22,0,0.41
236,indigocross92,Emergent,164.67,190.00,105.57,19,0,0.51
237,TurtlFPS,Vanguard,163.72,190.00,102.40,19,0,0.8
238,K1ng13east,Emergent,162.34,200.00,74.46,20,0,0.51
239,LVS_TurtleMan,Pinnacle (Highest Skill),161.60,170.00,142.00,17,0,1.0
240,TGUN_Turtle,Vanguard,160.84,190.00,92.80,19,0,0.8
241,HecTicAstro,Ascendant,160.74,200.00,69.12,20,0,0.64
242,Haki,Vanguard,160.56,180.00,115.20,18,0,0.8
243,KfroJenner69,Ascendant,160.35,200.00,67.84,20,0,0.64
244,Meepmoe6,Tendies (Lowest Skill),160.17,210.00,43.89,21,0,0.33
245,[DAD] Nars Lootbaar,Tendies (Lowest Skill),159.40,200.00,64.68,20,0,0.33
246,laceycs,Emergent,158.97,200.00,63.24,20,0,0.51
247,@ArtemisGG_,Emergent,158.55,190.00,85.17,19,0,0.51
248,Miriahkay19,Challengers,158.44,210.00,38.13,21,0,0.41
249,narwhal,Tendies (Lowest Skill),158.38,210.00,37.95,21,0,0.33
250,Supreme,Emergent,158.21,200.00,60.69,20,0,0.51
251,EST Wattzz,Vanguard,158.16,180.00,107.20,18,0,0.8
252,SilentRyft,Pinnacle (Highest Skill),157.70,200.00,59.00,20,0,1.0
253,FSC | Fishiness,Tendies (Lowest Skill),156.50,210.00,31.68,21,0,0.33
254,CheezySlice,Tendies (Lowest Skill),155.91,210.00,29.70,21,0,0.33
255,SOAK Palms,Ascendant,155.27,190.00,74.24,19,0,0.64
256,Truth,Vanguard,154.80,180.00,96.00,18,0,0.8
257,ClarkGriswold,Ascendant,154.50,190.00,71.68,19,0,0.64
258,Frijol3s03,Vanguard,153.88,190.00,69.60,19,0,0.8
259,MikieDelliii,Tendies (Lowest Skill),153.46,200.00,44.88,20,0,0.33
260,1L Fallen,Vanguard,153.16,190.00,67.20,19,0,0.8
261,Scarab6232,Emergent,152.93,180.00,89.76,18,0,0.51
262,CJtoSmooth,Ascendant,152.78,190.00,65.92,19,0,0.64
263,oalios,Vanguard,152.56,160.00,135.20,16,0,0.8
264,negativerush,Tendies (Lowest Skill),150.92,190.00,59.73,19,0,0.33
265,FTB | SliceOfJAO,Challengers,150.71,190.00,59.04,19,0,0.41
266,Eppie,Emergent,149.71,180.00,79.05,18,0,0.51
267,Cherm,Emergent,147.42,180.00,71.40,18,0,0.51
268,Sithopher,Challengers,146.29,180.00,67.65,18,0,0.41
269,iiNovationii,Tendies (Lowest Skill),145.70,180.00,65.67,18,0,0.33
270,lonewolf4114,Tendies (Lowest Skill),144.29,190.00,37.62,19,0,0.33
271,iklipsa,Ascendant,144.14,190.00,37.12,19,0,0.64
272,Unix_IRL,Vanguard,143.48,170.00,81.60,17,0,0.8
273,SpectacularlyAvg,Challengers,142.72,190.00,32.39,19,0,0.41
274,waz ee,Pinnacle (Highest Skill),142.00,160.00,100.00,16,0,1.0
275,Nedlock ネドロック,Vanguard,141.80,170.00,76.00,17,0,0.8
276,OE_remydees,Tendies (Lowest Skill),141.41,190.00,28.05,19,0,0.33
277,F5|GsQ BloomDion,Pinnacle (Highest Skill),141.10,160.00,97.00,16,0,1.0
278,Karnivorrr,Challengers,140.16,170.00,70.52,17,0,0.41
279,furryCheese,Vanguard,140.12,170.00,70.40,17,0,0.8
280,Pen5guin,Pinnacle (Highest Skill),139.50,150.00,115.00,15,0,1.0
281,AverageDrae,Challengers,136.34,170.00,57.81,17,0,0.41
282,Slim_Thor on twitch,Tendies (Lowest Skill),135.60,180.00,32.01,18,0,0.33
283,Twitch | lAlliegatorl,Vanguard,135.52,160.00,78.40,16,0,0.8
284,DirtyVerdy_,Tendies (Lowest Skill),135.31,180.00,31.02,18,0,0.33
285,muchmixture9,Emergent,135.29,150.00,100.98,15,0,0.51
286,CG BilliardHorn,Emergent,135.26,160.00,77.52,16,0,0.51
287,s,Vanguard,134.56,160.00,75.20,16,0,0.8
288,Greywaren99,Challengers,133.27,170.00,47.56,17,0,0.41
289,the-optimistic-stoic,Ascendant,130.82,160.00,62.72,16,0,0.64
290,YoTakeItEezy,Tendies (Lowest Skill),130.71,160.00,62.37,16,0,0.33
291,A_Fox_With_Sox,Tendies (Lowest Skill),130.29,170.00,37.62,17,0,0.33
292,Samus54,Tendies (Lowest Skill),129.59,170.00,35.31,17,0,0.33
293,Prosperitv,Tendies (Lowest Skill),128.70,170.00,32.34,17,0,0.33
294,NRG ltto.,Vanguard,127.76,140.00,99.20,14,0,0.8
295,ayla,Ascendant,126.50,150.00,71.68,15,0,0.64
296,Drizzy,Pinnacle (Highest Skill),124.90,160.00,43.00,16,0,1.0
297,R A P T U R E,Pinnacle (Highest Skill),124.60,130.00,112.00,13,0,1.0
298,RG_ItsNick,Tendies (Lowest Skill),123.88,160.00,39.60,16,0,0.33
299,Hud,Emergent,122.59,150.00,58.65,15,0,0.51
300,chris k,Pinnacle (Highest Skill),122.30,140.00,81.00,14,0,1.0
301,Kbertabifida,Tendies (Lowest Skill),121.60,160.00,32.01,16,0,0.33
302,fyf,Vanguard,121.52,140.00,78.40,14,0,0.8
303,AllieFPS | Twitch,Pinnacle (Highest Skill),121.00,130.00,100.00,13,0,1.0
304,EXL_LEEROYY,Vanguard,119.16,150.00,47.20,15,0,0.8
305,phokkyu,Emergent,118.66,140.00,68.85,14,0,0.51
306,SoleSky,Emergent,118.66,140.00,68.85,14,0,0.51
307,XEL.Bpsword.Twitch,Ascendant,117.78,140.00,65.92,14,0,0.64
308,Poptart,Emergent,117.70,150.00,42.33,15,0,0.51
309,RG Adam10,Tendies (Lowest Skill),116.88,150.00,39.60,15,0,0.33
310,MaschidezinTV,Challengers,116.70,140.00,62.32,14,0,0.41
311,Keosha,Tendies (Lowest Skill),115.99,150.00,36.63,15,0,0.33
312,amieable,Tendies (Lowest Skill),115.59,150.00,35.31,15,0,0.33
313,JRobx,Challengers,114.72,150.00,32.39,15,0,0.41
314,Tay,Ascendant,114.70,140.00,55.68,14,0,0.64
315,A,Vanguard,112.64,140.00,48.80,14,0,0.8
316,Rvo,Vanguard,111.44,140.00,44.80,14,0,0.8
317,Revy2hands,Emergent,110.70,140.00,42.33,14,0,0.51
318,EXL Unordinary ekiM,Vanguard,109.92,120.00,86.40,12,0,0.8
319,XHANABUSER,Vanguard,109.88,110.00,109.60,11,0,0.8
320,RG_CPTMurph24,Tendies (Lowest Skill),109.88,140.00,39.60,14,0,0.33
321,RBD Hound,Challengers,109.82,130.00,62.73,13,0,0.41
322,i miss her,Vanguard,109.48,130.00,61.60,13,0,0.8
323,siyoshiwakona,Emergent,108.86,140.00,36.21,14,0,0.51
324,TONYPIKACHU,Vanguard,108.72,120.00,82.40,12,0,0.8
325,rrroselia,Emergent,108.44,130.00,58.14,13,0,0.51
326,mildly boof,Tendies (Lowest Skill),107.60,140.00,32.01,14,0,0.33
327,FSC | shape,Tendies (Lowest Skill),107.50,140.00,31.68,14,0,0.33
328,JO x claw,Emergent,107.22,130.00,54.06,13,0,0.51
329,BACKSP4CEッ,Pinnacle (Highest Skill),107.20,130.00,54.00,13,0,1.0
330,caro,Pinnacle (Highest Skill),107.20,130.00,54.00,13,0,1.0
331,Bsteph13,Challengers,106.99,130.00,53.30,13,0,0.41
332,BakedPotato1213,Emergent,106.45,130.00,51.51,13,0,0.51
333,el diablo rojo,Ascendant,104.74,120.00,69.12,12,0,0.64
334,Tomboys > Femboys,Vanguard,104.56,100.00,115.20,10,0,0.8
335,Haightful,Ascendant,104.35,120.00,67.84,12,0,0.64
336,Diadem2721|Live,Ascendant,104.35,120.00,67.84,12,0,0.64
337,SlyTitan,Pinnacle (Highest Skill),104.20,130.00,44.00,13,0,1.0
338,Sleeping,Pinnacle (Highest Skill),104.00,110.00,90.00,11,0,1.0
339,Medic x Frieren,Vanguard,103.92,120.00,66.40,12,0,0.8
340,CantGetAway,Pinnacle (Highest Skill),102.80,110.00,86.00,11,0,1.0
341,ZeroGLHF,Vanguard,101.72,110.00,82.40,11,0,0.8
342,@Arise__FPS,Pinnacle (Highest Skill),101.40,120.00,58.00,12,0,1.0
343,Epickiller17,Pinnacle (Highest Skill),100.50,90.00,125.00,9,0,1.0
344,BossBBALLER101,Tendies (Lowest Skill),97.46,120.00,44.88,12,0,0.33
345,AmericanMan,Vanguard,97.36,100.00,91.20,10,0,0.8
346,LVS_Falcon,Vanguard,96.92,110.00,66.40,11,0,0.8
347,Gible,Tendies (Lowest Skill),95.95,130.00,16.50,13,0,0.33
348,TheHeuman,Pinnacle (Highest Skill),93.90,90.00,103.00,9,0,1.0
349,Durxy,Pinnacle (Highest Skill),93.50,110.00,55.00,11,0,1.0
350,h u s k y,Tendies (Lowest Skill),92.91,120.00,29.70,12,0,0.33
351,FALN | cwelk,Challengers,92.86,120.00,29.52,12,0,0.41
352,JFairo,Ascendant,92.64,120.00,28.80,12,0,0.64
353,Zorro,Pinnacle (Highest Skill),91.40,110.00,48.00,11,0,1.0
354,Eddy,Vanguard,90.88,100.00,69.60,10,0,0.8
355,Pxrmafrxstt,Pinnacle (Highest Skill),90.40,100.00,68.00,10,0,1.0
356,Eclipsie13,Vanguard,89.64,90.00,88.80,9,0,0.8
357,F5 | Stabjackal TTV,Ascendant,87.30,80.00,104.32,8,0,0.64
358,DASLEDGEHAMMER,Pinnacle (Highest Skill),86.80,70.00,126.00,7,0,1.0
359,m2,Vanguard,85.04,80.00,96.80,8,0,0.8
360,Childish,Vanguard,84.92,110.00,26.40,11,0,0.8
361,Dom,Vanguard,82.96,100.00,43.20,10,0,0.8
362,splitbomb33,Challengers,82.05,100.00,40.18,10,0,0.41
363,alphabet,Tendies (Lowest Skill),81.95,110.00,16.50,11,0,0.33
364,MJ5044,Ascendant,81.83,70.00,109.44,7,0,0.64
365,EXL_KNGKUMO,Pinnacle (Highest Skill),81.40,100.00,38.00,10,0,1.0
366,estrella,Vanguard,80.76,90.00,59.20,9,0,0.8
367,Graffix,Vanguard,80.72,80.00,82.40,8,0,0.8
368,ZorraAssassin,Vanguard,79.36,100.00,31.20,10,0,0.8
369,avoid,Pinnacle (Highest Skill),79.00,100.00,30.00,10,0,1.0
