Overall_Rank,Division,Rank_in_Division,Team_Name,Team_Rating,Tier,Day,Schedule_Constraint,Original_Rank,Rank_Change,Change_Direction
75,4,15,Kirkland Signature Esports,382.44,S+,Thursday,No Scheduling Issues,75,0,=
76,4,16,The Cult,337.74,S+,Thursday,No Scheduling Issues,96,20,↑20
77,4,17,Dino Nugs,325.00,S+,Thursday,No Scheduling Issues,82,5,↑5
78,4,18,LNC,306.83,S+,Thursday,No Scheduling Issues,84,6,↑6
79,4,19,Paradox Gaming,292.51,S+,Thursday,No Scheduling Issues,86,7,↑7
80,4,20,Fearsome Foursome,289.65,S+,Thursday,No Scheduling Issues,68,-12,↓12
81,5,1,NordikSyncUniverse,266.61,S+,Monday,Wednesday,69,-12,↓12
82,5,2,Apex Tee-Ball Team #1,256.94,S+,Monday,No Scheduling Issues,99,17,↑17
83,5,3,Crashing Out,213.13,S+,Monday,No Scheduling Issues,123,40,↑40
84,5,4,No Peel,207.48,S+,Monday,No Scheduling Issues,90,6,↑6
85,5,5,PHOnomenal,205.04,S+,Monday,"Monday, Thursday",87,2,↑2
86,5,6,MeeHoyyMinoyy,202.87,S+,Monday,No Scheduling Issues,72,-14,↓14
87,5,7,Est Mango Mafia,183.97,S+,Monday,Thursday,88,1,↑1
88,5,8,Reales,178.94,S+,Monday,No Scheduling Issues,83,-5,↓5
89,5,9,Baked Goods,156.09,S+,Monday,No Scheduling Issues,98,9,↑9
90,5,10,Maet Xepa,155.07,S+,Monday,No Scheduling Issues,108,18,↑18
91,5,11,Hangin' Brain,154.58,S+,Monday,No Scheduling Issues,89,-2,↓2
92,5,12,Thought it was safe,149.12,S+,Monday,No Scheduling Issues,92,0,=
93,5,13,Yams in Paris,147.98,S+,Monday,No Scheduling Issues,112,19,↑19
94,5,14,BaM,145.90,S+,Monday,"Wednesday, Thursday",85,-9,↓9
95,5,15,Sakura,143.73,S,Monday,No Scheduling Issues,94,-1,↓1
96,5,16,Cleveland Forge,143.08,S,Monday,No Scheduling Issues,80,-16,↓16
97,5,17,Cream Team,141.66,S,Monday,Thursday,81,-16,↓16
98,5,18,Karnage,140.20,S,Monday,No Scheduling Issues,78,-20,↓20
99,5,19,Wagon station,126.84,A+,Monday,No Scheduling Issues,103,4,↑4
100,5,20,Powerpuff Girls,126.64,A+,Monday,No Scheduling Issues,113,13,↑13
101,6,1,Hunting Chuds Bungus,111.94,A,Wednesday,Monday,104,3,↑3
102,6,2,The Yacht Motel,108.40,A,Wednesday,Thursday,101,-1,↓1
103,6,3,FCKU2,106.71,A,Wednesday,No Scheduling Issues,93,-10,↓10
104,6,4,OMPA,103.55,A,Wednesday,No Scheduling Issues,76,-28,↓28
105,6,5,For The Boys,101.97,A,Wednesday,Thursday,115,10,↑10
106,6,6,Cartel,95.24,B+,Wednesday,No Scheduling Issues,102,-4,↓4
107,6,7,Gravity,85.16,B,Wednesday,No Scheduling Issues,114,7,↑7
108,6,8,Brownies,80.14,B,Wednesday,Monday,111,3,↑3
109,6,9,Bandit Beaters,80.00,B,Wednesday,No Scheduling Issues,61,-48,↓48
110,6,10,Turbo Shandy,79.70,B,Wednesday,No Scheduling Issues,130,20,↑20
111,6,11,Rabid,73.07,C+,Wednesday,No Scheduling Issues,100,-11,↓11
112,6,12,Revive and Repeat,70.44,C+,Wednesday,No Scheduling Issues,109,-3,↓3
113,6,13,Purple Cobras,70.14,C+,Wednesday,No Scheduling Issues,118,5,↑5
114,6,14,DucK1ng Loko,67.59,C+,Wednesday,Thursday,106,-8,↓8
115,6,15,Moirai Esports,67.41,C+,Wednesday,No Scheduling Issues,128,13,↑13
116,6,16,Pekotitlan,66.99,C+,Wednesday,No Scheduling Issues,120,4,↑4
117,6,17,TGUN,66.15,C+,Wednesday,No Scheduling Issues,117,0,=
118,6,18,FALN Esports,64.42,C,Wednesday,No Scheduling Issues,116,-2,↓2
119,6,19,Mike's Chill Summer,64.24,C,Wednesday,"Wednesday, No Scheduling Issues",105,-14,↓14
120,6,20,Tiny Timmys,63.86,C,Wednesday,Wednesday,91,-29,↓29
121,7,1,Feint,63.39,C,Monday,No Scheduling Issues,122,1,↑1
122,7,2,Beaver Blasters,61.43,C,Monday,No Scheduling Issues,129,7,↑7
123,7,3,Geriatric Reflexes,60.42,C,Monday,No Scheduling Issues,124,1,↑1
124,7,4,Strike X,57.85,C,Monday,No Scheduling Issues,131,7,↑7
125,7,5,Loser Gang,55.38,C,Monday,No Scheduling Issues,119,-6,↓6
126,7,6,The Wave,54.52,C-,Monday,Thursday,97,-29,↓29
127,7,7,Motion,52.97,C-,Monday,No Scheduling Issues,107,-20,↓20
128,7,8,The Backyard,40.00,D+,Monday,No Scheduling Issues,132,4,↑4
129,7,9,Karasuno,39.38,D+,Monday,Monday,135,6,↑6
130,7,10,The Misfits,36.61,D+,Monday,No Scheduling Issues,133,3,↑3
131,7,11,SCHIZOMANIACZ,35.70,D+,Monday,No Scheduling Issues,139,8,↑8
132,7,12,High Tide Ladies,35.30,D+,Monday,"Wednesday, Thursday",138,6,↑6
133,7,13,THR333 AMIGOS,33.12,D,Monday,No Scheduling Issues,134,1,↑1
134,7,14,MOTL CONSOLE,28.04,D,Monday,Wednesday,127,-7,↓7
135,7,15,The BooBees,24.64,D-,Monday,No Scheduling Issues,136,1,↑1
136,7,16,GOM Squad,24.22,D-,Monday,No Scheduling Issues,137,1,↑1
137,7,17,Delirium,21.14,D-,Monday,Mondays,121,-16,↓16
138,7,18,Chill guys,16.90,D-,Monday,No Scheduling Issues,126,-12,↓12
139,7,19,Spawned,16.79,D-,Monday,Wednesday,125,-14,↓14
140,7,20,Apexolotls,15.75,D-,Monday,No Scheduling Issues,140,0,=
