Rank,Player Name,Division,Weighted Points,Raw Points,Kills,Damage,Lobby,Lobby Weight
341,RG Adam10,Tendies (Lowest Skill),39.60,120,15,0,6,0.33
342,RG_ItsNick,Tendies (Lowest Skill),39.60,120,16,0,6,0.33
343,RG_CPTMurph24,Tendies (Lowest Skill),39.60,120,14,0,6,0.33
344,Miriahkay19,Challengers,38.13,93,21,0,5,0.41
345,EXL_KNGKUMO,Pinnacle (Highest Skill),38.00,38,10,0,1,1.00
346,EXL_FLYXSS,Pinnacle (Highest Skill),38.00,38,2,0,1,1.00
347,narwhal,Tendies (Lowest Skill),37.95,115,21,0,6,0.33
348,A_Fox_With_Sox,Tendies (Lowest Skill),37.62,114,17,0,6,0.33
349,eR4Ticate13,Tendies (Lowest Skill),37.62,114,24,0,6,0.33
350,lonewolf4114,Tendies (Lowest Skill),37.62,114,19,0,6,0.33
351,iklipsa,Ascendant,37.12,58,19,0,3,0.64
352,groupty,Pinnacle (Highest Skill),37.00,37,6,0,1,1.00
353,Keosha,Tendies (Lowest Skill),36.63,111,15,0,6,0.33
354,Krit,Tendies (Lowest Skill),36.63,111,36,0,6,0.33
355,siyoshiwakona,Emergent,36.21,71,14,0,4,0.51
356,WhySoSweatyy,Challengers,35.67,87,22,0,5,0.41
357,addedayo,Tendies (Lowest Skill),35.64,108,28,0,6,0.33
358,amieable,Tendies (Lowest Skill),35.31,107,15,0,6,0.33
359,Samus54,Tendies (Lowest Skill),35.31,107,17,0,6,0.33
360,Yarfy,Vanguard,34.40,43,8,0,2,0.80
361,Joe Dirt,Ascendant,33.28,52,6,0,3,0.64
362,NuTTy,Pinnacle (Highest Skill),33.00,33,8,0,1,1.00
363,SpectacularlyAvg,Challengers,32.39,79,19,0,5,0.41
364,JRobx,Challengers,32.39,79,15,0,5,0.41
365,Jack,Tendies (Lowest Skill),32.34,98,36,0,6,0.33
366,Sammie,Tendies (Lowest Skill),32.34,98,9,0,6,0.33
367,Prosperitv,Tendies (Lowest Skill),32.34,98,17,0,6,0.33
368,mildly boof,Tendies (Lowest Skill),32.01,97,14,0,6,0.33
369,Slim_Thor on twitch,Tendies (Lowest Skill),32.01,97,18,0,6,0.33
370,Kbertabifida,Tendies (Lowest Skill),32.01,97,16,0,6,0.33
371,Moolboyrk,Pinnacle (Highest Skill),32.00,32,4,0,1,1.00
372,FSC | shape,Tendies (Lowest Skill),31.68,96,14,0,6,0.33
373,FSC | SantaKlaus,Tendies (Lowest Skill),31.68,96,29,0,6,0.33
374,FSC | Fishiness,Tendies (Lowest Skill),31.68,96,21,0,6,0.33
375,Keko75FTW,Tendies (Lowest Skill),31.35,95,23,0,6,0.33
376,Nilak,Tendies (Lowest Skill),31.35,95,5,0,6,0.33
377,KindKitten14,Vanguard,31.20,39,8,0,2,0.80
378,ZorraAssassin,Vanguard,31.20,39,10,0,2,0.80
379,DirtyVerdy_,Tendies (Lowest Skill),31.02,94,18,0,6,0.33
380,o7 o7 o7,Pinnacle (Highest Skill),31.00,31,5,0,1,1.00
381,Broom,Pinnacle (Highest Skill),31.00,31,4,0,1,1.00
382,avoid,Pinnacle (Highest Skill),30.00,30,10,0,1,1.00
383,Kozmohs1,Pinnacle (Highest Skill),30.00,30,9,0,1,1.00
384,h u s k y,Tendies (Lowest Skill),29.70,90,12,0,6,0.33
385,RetroMrLiquid,Tendies (Lowest Skill),29.70,90,7,0,6,0.33
386,CheezySlice,Tendies (Lowest Skill),29.70,90,21,0,6,0.33
387,CasualRobi,Vanguard,29.60,37,6,0,2,0.80
388,FALN | cwelk,Challengers,29.52,72,12,0,5,0.41
389,Luzer,Emergent,29.07,57,7,0,4,0.51
390,Arc_PC,Pinnacle (Highest Skill),29.00,29,5,0,1,1.00
391,DunnoU,Pinnacle (Highest Skill),29.00,29,1,0,1,1.00
392,tso,Pinnacle (Highest Skill),29.00,29,2,0,1,1.00
393,mind goblin,Vanguard,28.80,36,8,0,2,0.80
394,WarsZ,Vanguard,28.80,36,2,0,2,0.80
395,JFairo,Ascendant,28.80,45,12,0,3,0.64
396,OE_remydees,Tendies (Lowest Skill),28.05,85,19,0,6,0.33
397,Deltuh,Vanguard,28.00,35,7,0,2,0.80
398,Inoriboob,Vanguard,28.00,35,7,0,2,0.80
399,SpaceGhostXero,Vanguard,28.00,35,7,0,2,0.80
400,Nyamea,Vanguard,27.20,34,3,0,2,0.80
401,@YoJokerz,Pinnacle (Highest Skill),27.00,27,6,0,1,1.00
402,TTV Bubble,Vanguard,26.40,33,3,0,2,0.80
403,Childish,Vanguard,26.40,33,11,0,2,0.80
404,MHM_MrBr0janglessTTV,Vanguard,26.40,33,6,0,2,0.80
405,ENCRYPTED8704,Ascendant,26.24,41,4,0,3,0.64
406,gruesome_b1,Emergent,26.01,51,4,0,4,0.51
407,dash in retirement,Pinnacle (Highest Skill),26.00,26,6,0,1,1.00
408,Evoke,Pinnacle (Highest Skill),26.00,26,3,0,1,1.00
409,OE_UselessRoyalty,Tendies (Lowest Skill),25.74,78,10,0,6,0.33
410,angrySandy,Emergent,25.50,50,4,0,4,0.51
411,JustVibing4829,Pinnacle (Highest Skill),25.00,25,2,0,1,1.00
412,nathanbradley54,Challengers,24.60,60,2,0,5,0.41
413,No Brain,Pinnacle (Highest Skill),24.00,24,7,0,1,1.00
414,m3a0w,Pinnacle (Highest Skill),24.00,24,3,0,1,1.00
415,CG honeybee aries,Vanguard,23.20,29,4,0,2,0.80
416,twitch.tv/ruiin999,Pinnacle (Highest Skill),23.00,23,8,0,1,1.00
417,JustTam1r-TTV,Challengers,22.96,56,10,0,5,0.41
418,HTL Danikay,Tendies (Lowest Skill),22.11,67,4,0,6,0.33
419,ジマー,Pinnacle (Highest Skill),22.00,22,3,0,1,1.00
420,Uorax,Pinnacle (Highest Skill),22.00,22,4,0,1,1.00
421,RedTerror,Emergent,21.93,43,10,0,4,0.51
422,AP985,Challengers,21.73,53,4,0,5,0.41
423,l0tusStar,Vanguard,21.60,27,3,0,2,0.80
424,WALLSHIFT,Vanguard,21.60,27,1,0,2,0.80
425,rukaaiscool556,Pinnacle (Highest Skill),20.00,20,3,0,1,1.00
426,Kaezuh,Vanguard,20.00,25,7,0,2,0.80
427,Natems1717,Ascendant,19.20,30,0,0,3,0.64
428,ac__ca\vt.hctiwt,Pinnacle (Highest Skill),18.00,18,3,0,1,1.00
429,Croh,Tendies (Lowest Skill),17.82,54,6,0,6,0.33
430,Deadbok_666,Tendies (Lowest Skill),17.82,54,3,0,6,0.33
431,ramshackle786,Tendies (Lowest Skill),17.16,52,5,0,6,0.33
432,ctrl,Pinnacle (Highest Skill),17.00,17,3,0,1,1.00
433,alphabet,Tendies (Lowest Skill),16.50,50,11,0,6,0.33
434,Gible,Tendies (Lowest Skill),16.50,50,13,0,6,0.33
435,Monke,Tendies (Lowest Skill),16.50,50,6,0,6,0.33
436,OverratedMax,Pinnacle (Highest Skill),16.00,16,0,0,1,1.00
437,BlueGreek,Ascendant,15.36,24,4,0,3,0.64
438,TTV | Astris86,Ascendant,15.36,24,10,0,3,0.64
439,SwiftieC,Tendies (Lowest Skill),14.52,44,4,0,6,0.33
440,7157-8414-2998 on Pokemon Go,Emergent,14.28,28,3,0,4,0.51
441,PING CRUSADER,Pinnacle (Highest Skill),14.00,14,2,0,1,1.00
442,Droptimus Prime ツ,Emergent,13.77,27,6,0,4,0.51
443,swagstrfather420,Challengers,13.12,32,5,0,5,0.41
444,harry,Vanguard,12.80,16,7,0,2,0.80
445,lookn4ahopup,Emergent,12.24,24,2,0,4,0.51
446,hyper o7,Pinnacle (Highest Skill),12.00,12,4,0,1,1.00
447,MissingJibbs,Emergent,11.73,23,4,0,4,0.51
448,Lime Grass 0,Emergent,11.22,22,3,0,4,0.51
449,Huntingfool,Emergent,11.22,22,2,0,4,0.51
450,Aquamarine,Vanguard,11.20,14,3,0,2,0.80
451,Secrets™,Pinnacle (Highest Skill),11.00,11,2,0,1,1.00
452,Big Daddy Busch,Challengers,10.66,26,6,0,5,0.41
453,GN700TM,Tendies (Lowest Skill),9.90,30,2,0,6,0.33
454,QWERTY,Ascendant,9.60,15,1,0,3,0.64
455,Kerckhaert,Tendies (Lowest Skill),9.24,28,1,0,6,0.33
456,l Belfour l20l,Tendies (Lowest Skill),9.24,28,4,0,6,0.33
457,zewski,Emergent,9.18,18,4,0,4,0.51
458,tuna!,Pinnacle (Highest Skill),9.00,9,1,0,1,1.00
459,iButterMyBreadWB,Pinnacle (Highest Skill),9.00,9,0,0,1,1.00
460,DareOGK on Twitch,Pinnacle (Highest Skill),9.00,9,1,0,1,1.00
461,Jubella,Challengers,8.61,21,1,0,5,0.41
462,gmail@ec_doom.com,Tendies (Lowest Skill),8.25,25,0,0,6,0.33
463,DreadWolf303,Tendies (Lowest Skill),8.25,25,1,0,6,0.33
464,QP,Vanguard,8.00,10,1,0,2,0.80
465,Heathclips_,Emergent,7.65,15,1,0,4,0.51
466,DangrClxse,Challengers,6.97,17,2,0,5,0.41
467,Nando,Emergent,6.63,13,4,0,4,0.51
468,Sam,Challengers,6.56,16,5,0,5,0.41
469,TexasTrash9,Tendies (Lowest Skill),5.61,17,1,0,6,0.33
470,RogueKielbasa,Emergent,4.08,8,0,0,4,0.51
471,OE Hoodie,Tendies (Lowest Skill),2.64,8,0,0,6,0.33
472,ice tickle,Vanguard,2.40,3,0,0,2,0.80
473,Toasty,Pinnacle (Highest Skill),2.00,2,0,0,1,1.00
474,萧瑟,Pinnacle (Highest Skill),2.00,2,1,0,1,1.00
475,xJBeach,Emergent,1.53,3,0,0,4,0.51
476,IVIonty,Emergent,1.53,3,1,0,4,0.51
477,IGY6 theeJambro,Pinnacle (Highest Skill),1.00,1,0,0,1,1.00
478,WaBBiT,Pinnacle (Highest Skill),0.00,0,0,0,1,1.00
