Rank,Player Name,Division,Final Score (50/50),Individual Score,Team Score,Kills,Damage,Lobby Weight
42,Dvpaper,Pinnacle (Highest Skill),307.50,330.00,285.00,33,0,1.0
43,fpsboone,Ascendant,306.32,500.00,112.64,50,0,0.64
44,Shouli,Pinnacle (Highest Skill),304.50,380.00,229.00,38,0,1.0
45,MOTL Kahzïne,Pinnacle (Highest Skill),303.00,420.00,186.00,42,0,1.0
46,Cezr,Ascendant,298.76,410.00,187.52,41,0,0.64
47,DarkApex,Pinnacle (Highest Skill),297.50,340.00,255.00,34,0,1.0
48,Lau,Pinnacle (Highest Skill),297.00,330.00,264.00,33,0,1.0
49,Frank Newcastle,Challengers,295.60,460.00,131.20,46,0,0.41
50,Baughty,Challengers,294.00,490.00,97.99,49,0,0.41
51,Crash,Ascendant,292.96,440.00,145.92,44,0,0.64
52,Gav.MLNT,Ascendant,291.60,420.00,163.20,42,0,0.64
53,Fartman,Ascendant,286.56,440.00,133.12,44,0,0.64
54,Waly,Ascendant,284.08,460.00,108.16,46,0,0.64
55,asome005,Challengers,280.71,470.00,91.43,47,0,0.41
56,YANKEE 6 XRAY,Ascendant,279.72,450.00,109.44,45,0,0.64
57,xThinkso,Ascendant,279.64,350.00,209.28,35,0,0.64
58,Doctor Eloc,Tendies (Lowest Skill),277.34,490.00,64.68,49,0,0.33
59,HaKobo,Challengers,274.00,450.00,97.99,45,0,0.41
60,ColedColedWorld,Ascendant,271.48,390.00,152.96,39,0,0.64
61,ButterMyBreadWB,Vanguard,271.40,390.00,152.80,39,0,0.8
62,Jinkx,Ascendant,269.68,380.00,159.36,38,0,0.64
63,Zboy5z5,Pinnacle (Highest Skill),268.50,300.00,237.00,30,0,1.0
64,Saki <3,Emergent,267.38,420.00,114.75,42,0,0.51
65,x_howdie_x,Tendies (Lowest Skill),264.87,470.00,59.73,47,0,0.33
66,DWE Parcifal,Challengers,262.56,430.00,95.12,43,0,0.41
67,DWE Mango,Challengers,262.36,430.00,94.71,43,0,0.41
68,AUTHOR,Ascendant,261.68,380.00,143.36,38,0,0.64
69,garbunk,Vanguard,260.20,370.00,150.40,37,0,0.8
70,Deetray,Pinnacle (Highest Skill),260.00,360.00,160.00,36,0,1.0
71,Syndicate50,Challengers,259.32,410.00,108.65,41,0,0.41
72,boobert,Emergent,259.27,440.00,78.54,44,0,0.51
73,Hova,Challengers,257.56,420.00,95.12,42,0,0.41
74,MannikTV,Ascendant,257.20,380.00,134.40,38,0,0.64
75,A Big Ahh Turd,Pinnacle (Highest Skill),254.50,310.00,199.00,31,0,1.0
76,Kevin,Ascendant,254.48,420.00,88.96,42,0,0.64
77,Enderphor,Challengers,253.62,440.00,67.24,44,0,0.41
78,Jakoby,Pinnacle (Highest Skill),253.50,280.00,227.00,28,0,1.0
79,100T sheppyk9,Tendies (Lowest Skill),252.84,440.00,65.67,44,0,0.33
80,Mr_Hands_20,Challengers,251.55,360.00,143.09,36,0,0.41
81,Pandaz809,Emergent,250.99,350.00,151.98,35,0,0.51
82,Lawlipawp,Ascendant,250.72,360.00,141.44,36,0,0.64
83,zegion,Vanguard,250.20,350.00,150.40,35,0,0.8
84,RAGNA_Viper,Tendies (Lowest Skill),247.84,430.00,65.67,43,0,0.33
85,ehayes121,Challengers,247.51,420.00,75.03,42,0,0.41
86,OniHeishiVT,Emergent,245.49,390.00,100.98,39,0,0.51
87,bradyvision,Challengers,245.14,380.00,110.29,38,0,0.41
88,Potter,Emergent,244.43,420.00,68.85,42,0,0.51
89,Gas Daddy,Pinnacle (Highest Skill),244.00,210.00,278.00,21,0,1.0
90,twitch.tv/apguapo,Vanguard,244.00,400.00,88.00,40,0,0.8
91,Kryo,Vanguard,240.80,360.00,121.60,36,0,0.8
92,The Real Slim Shady,Tendies (Lowest Skill),240.08,430.00,50.16,43,0,0.33
93,An7,Pinnacle (Highest Skill),238.00,290.00,186.00,29,0,1.0
94,ejustice74,Ascendant,236.48,320.00,152.96,32,0,0.64
95,Draigo,Vanguard,234.00,340.00,128.00,34,0,0.8
96,SolisStreams,Challengers,231.85,410.00,53.71,41,0,0.41
97,jaundyy666,Vanguard,231.60,320.00,143.20,32,0,0.8
98,GGMantisToboggan,Challengers,229.00,360.00,97.99,36,0,0.41
99,eidolon,Pinnacle (Highest Skill),228.00,290.00,166.00,29,0,1.0
100,Mootzel,Emergent,227.33,370.00,84.66,37,0,0.51
101,LVS_Soda,Pinnacle (Highest Skill),226.00,310.00,142.00,31,0,1.0
102,hatch,Vanguard,225.20,340.00,110.40,34,0,0.8
103,0ptical,Pinnacle (Highest Skill),224.50,270.00,179.00,27,0,1.0
104,MOTL DduckyG,Challengers,224.25,330.00,118.49,33,0,0.41
105,Hobojo,Emergent,222.94,350.00,95.88,35,0,0.51
106,TH | winterdeadeye,Ascendant,222.60,330.00,115.20,33,0,0.64
107,PGK,Pinnacle (Highest Skill),221.50,270.00,173.00,27,0,1.0
108,Fuzz,Ascendant,220.84,290.00,151.68,29,0,0.64
109,Noxums,Vanguard,220.60,290.00,151.20,29,0,0.8
110,Lastcall,Pinnacle (Highest Skill),220.50,270.00,171.00,27,0,1.0
111,xXx,Pinnacle (Highest Skill),219.50,280.00,159.00,28,0,1.0
112,Gator Needs His Gat,Emergent,219.12,350.00,88.23,35,0,0.51
113,spaceman,Pinnacle (Highest Skill),219.00,270.00,168.00,27,0,1.0
114,JuiceboxSlays (washed),Challengers,218.91,380.00,57.81,38,0,0.41
115,SOAK Wobbla,Emergent,218.85,300.00,137.70,30,0,0.51
116,FlareNotFlair,Pinnacle (Highest Skill),218.50,300.00,137.00,30,0,1.0
117,Double-Take,Vanguard,218.00,300.00,136.00,30,0,0.8
118,pat,Emergent,214.88,340.00,89.76,34,0,0.51
119,mauシ,Pinnacle (Highest Skill),214.00,250.00,178.00,25,0,1.0
120,Almanymede,Pinnacle (Highest Skill),213.00,240.00,186.00,24,0,1.0
121,claud,Tendies (Lowest Skill),210.36,360.00,60.72,36,0,0.33
122,DosEquisMan,Tendies (Lowest Skill),210.08,370.00,50.16,37,0,0.33
123,ESTEFY,Vanguard,209.60,300.00,119.20,30,0,0.8
124,NØKK,Pinnacle (Highest Skill),209.50,260.00,159.00,26,0,1.0
125,MattyK3NG,Ascendant,208.96,240.00,177.92,24,0,0.64
126,goddamnironman,Challengers,207.56,320.00,95.12,32,0,0.41
127,Frogs,Emergent,207.23,340.00,74.46,34,0,0.51
128,ThisIsMig | Twitch,Ascendant,206.88,280.00,133.76,28,0,0.64
129,zG_Stifle,Challengers,204.81,360.00,49.61,36,0,0.41
130,goodlookingsean,Pinnacle (Highest Skill),204.00,250.00,158.00,25,0,1.0
131,TwelveGage,Ascendant,202.60,290.00,115.20,29,0,0.64
132,ジム,Vanguard,201.40,290.00,112.80,29,0,0.8
133,LAZY3D,Pinnacle (Highest Skill),200.00,240.00,160.00,24,0,1.0
134,Indy,Ascendant,199.08,290.00,108.16,29,0,0.64
135,iiRonnoc,Ascendant,198.96,300.00,97.92,30,0,0.64
136,chill guy kien,Challengers,198.79,300.00,97.58,30,0,0.41
137,Krit,Tendies (Lowest Skill),198.31,360.00,36.63,36,0,0.33
138,Goomba on a Roomba,Ascendant,197.40,270.00,124.80,27,0,0.64
139,Jack,Tendies (Lowest Skill),196.17,360.00,32.34,36,0,0.33
140,Heret1c,Vanguard,196.00,300.00,92.00,30,0,0.8
141,StoneSpy946,Emergent,194.88,300.00,89.76,30,0,0.51
142,TH | BalynceLIVE,Ascendant,192.76,310.00,75.52,31,0,0.64
143,JEK,Emergent,192.38,320.00,64.77,32,0,0.51
144,PRDX_Jokr,Challengers,191.98,320.00,63.96,32,0,0.41
145,find0utt_TTV,Ascendant,191.44,260.00,122.88,26,0,0.64
146,RBD | Toonz,Challengers,191.24,330.00,52.48,33,0,0.41
147,Xiums,Vanguard,190.80,260.00,121.60,26,0,0.8
148,Ltto.,Pinnacle (Highest Skill),189.50,220.00,159.00,22,0,1.0
149,amon,Vanguard,188.00,280.00,96.00,28,0,0.8
150,ChaosGoesLive,Emergent,186.37,310.00,62.73,31,0,0.51
151,cudi,Pinnacle (Highest Skill),184.50,190.00,179.00,19,0,1.0
152,J DAWG,Ascendant,183.96,270.00,97.92,27,0,0.64
153,mati,Vanguard,182.80,240.00,125.60,24,0,0.8
154,weird fishes,Vanguard,182.60,270.00,95.20,27,0,0.8
155,BrandoCommando,Pinnacle (Highest Skill),182.50,240.00,125.00,24,0,1.0
156,PRDX_kraknn,Challengers,181.98,300.00,63.96,30,0,0.41
157,Gee_Spree,Ascendant,181.56,230.00,133.12,23,0,0.64
158,blanK,Vanguard,181.40,250.00,112.80,25,0,0.8
159,G2theRiffin,Challengers,180.75,300.00,61.50,30,0,0.41
160,I3otox_,Tendies (Lowest Skill),180.36,300.00,60.72,30,0,0.33
161,Xzavier,Vanguard,179.40,270.00,88.80,27,0,0.8
162,Wolfer,Vanguard,179.40,270.00,88.80,27,0,0.8
163,FALN | Stats,Challengers,178.82,290.00,67.65,29,0,0.41
164,FALN | JohnnyK,Challengers,178.70,300.00,57.40,30,0,0.41
165,Kolosusx,Emergent,178.50,280.00,77.01,28,0,0.51
166,ChosenSky,Pinnacle (Highest Skill),178.00,230.00,126.00,23,0,1.0
167,Hurt,Tendies (Lowest Skill),176.19,290.00,62.37,29,0,0.33
168,HA1L RG3,Challengers,174.93,290.00,59.86,29,0,0.41
169,BobbyBooshayy,Emergent,174.88,260.00,89.76,26,0,0.51
170,Cyferzn,Vanguard,174.80,240.00,109.60,24,0,0.8
171,BaM_Clutch,Ascendant,173.96,250.00,97.92,25,0,0.64
172,Becka,Tendies (Lowest Skill),173.93,300.00,47.85,30,0,0.33
173,US-Fakezi,Ascendant,173.76,240.00,107.52,24,0,0.64
174,Bvtterr,Pinnacle (Highest Skill),173.00,200.00,146.00,20,0,1.0
175,:O,Emergent,173.00,270.00,75.99,27,0,0.51
176,FSU_TacticalMyst,Challengers,172.03,260.00,84.05,26,0,0.41
177,FTB | Hunkulesss,Challengers,171.08,270.00,72.16,27,0,0.41
178,Quip,Ascendant,170.84,190.00,151.68,19,0,0.64
179,uhPrxzn,Pinnacle (Highest Skill),170.00,240.00,100.00,24,0,1.0
180,EagleUSA,Challengers,168.82,270.00,67.65,27,0,0.41
181,imCBITS,Vanguard,168.60,250.00,87.20,25,0,0.8
182,TsF MonTy,Tendies (Lowest Skill),167.34,270.00,64.68,27,0,0.33
183,TheGunner2533,Challengers,165.26,260.00,70.52,26,0,0.41
184,ChefMike,Emergent,164.68,260.00,69.36,26,0,0.51
185,ImTheBigFork,Vanguard,164.40,240.00,88.80,24,0,0.8
186,MyrtleSquirtle,Tendies (Lowest Skill),163.93,280.00,47.85,28,0,0.33
187,F5 | Big Ab,Pinnacle (Highest Skill),163.50,240.00,87.00,24,0,1.0
188,[Experimental AI Bot]29.319.17,Ascendant,163.20,240.00,86.40,24,0,0.64
189,HotKnockz,Pinnacle (Highest Skill),163.00,240.00,86.00,24,0,1.0
190,Kitkat >:),Emergent,163.00,250.00,75.99,25,0,0.51
191,PRDX_Ayywire,Challengers,161.98,260.00,63.96,26,0,0.41
192,XI PuGz,Emergent,161.78,270.00,53.55,27,0,0.51
193,旋風,Vanguard,161.40,210.00,112.80,21,0,0.8
194,FSC | SantaKlaus,Tendies (Lowest Skill),160.84,290.00,31.68,29,0,0.33
195,Coveted Yams,Challengers,159.77,240.00,79.54,24,0,0.41
196,Calbeast,Ascendant,159.72,210.00,109.44,21,0,0.64
197,Xyrosec,Ascendant,158.52,230.00,87.04,23,0,0.64
198,///Mikey,Ascendant,158.20,230.00,86.40,23,0,0.64
199,addedayo,Tendies (Lowest Skill),157.82,280.00,35.64,28,0,0.33
200,MoistKnight2443,Challengers,157.10,240.00,74.21,24,0,0.41
201,A_MF_Queen,Tendies (Lowest Skill),156.78,270.00,43.56,27,0,0.33
202,Figgy14,Challengers,156.16,250.00,62.32,25,0,0.41
203,FTB | steph,Challengers,156.08,240.00,72.16,24,0,0.41
204,LVS_TurtleMan,Pinnacle (Highest Skill),156.00,170.00,142.00,17,0,1.0
205,Chudbudwalker,Emergent,155.60,250.00,61.20,25,0,0.51
206,BklynzKilla90,Vanguard,154.40,220.00,88.80,22,0,0.8
207,Aero,Vanguard,152.60,210.00,95.20,21,0,0.8
208,TTV/Fishiness,Challengers,151.73,260.00,43.46,26,0,0.41
209,Bungus Elite,Emergent,151.21,230.00,72.42,23,0,0.51
210,Exillade,Ascendant,150.00,220.00,80.00,22,0,0.64
211,snowyday_,Tendies (Lowest Skill),149.87,240.00,59.73,24,0,0.33
212,Beanboy,Emergent,149.32,240.00,58.65,24,0,0.51
213,StingraySlapper,Challengers,148.91,240.00,57.81,24,0,0.41
214,AngryS0da,Emergent,148.66,230.00,67.32,23,0,0.51
215,Bolbi Stroganovsky,Emergent,148.00,220.00,75.99,22,0,0.51
216,indigocross92,Emergent,147.78,190.00,105.57,19,0,0.51
217,oalios,Vanguard,147.60,160.00,135.20,16,0,0.8
218,Haki,Vanguard,147.60,180.00,115.20,18,0,0.8
219,ENVYxSkillet,Vanguard,146.40,200.00,92.80,20,0,0.8
220,RBD yonewdaddy,Challengers,146.37,230.00,62.73,23,0,0.41
221,TurtlFPS,Vanguard,146.20,190.00,102.40,19,0,0.8
222,THEOZINBOY,Pinnacle (Highest Skill),146.00,200.00,92.00,20,0,1.0
223,I_am_that_guy_59,Challengers,145.72,200.00,91.43,20,0,0.41
224,Raz,Emergent,145.60,230.00,61.20,23,0,0.51
225,DEKTA_TTV,Vanguard,145.40,210.00,80.80,21,0,0.8
226,Penguinii,Pinnacle (Highest Skill),145.00,200.00,90.00,20,0,1.0
227,AS1AN M1KE,Challengers,144.72,230.00,59.45,23,0,0.41
228,EST Wattzz,Vanguard,143.60,180.00,107.20,18,0,0.8
229,Mysteryz,Pinnacle (Highest Skill),143.50,200.00,87.00,20,0,1.0
230,TGUN_Turtle,Vanguard,141.40,190.00,92.80,19,0,0.8
231,impish,Emergent,140.34,220.00,60.69,22,0,0.51
232,F5 | ntROZE,Vanguard,139.80,210.00,69.60,21,0,0.8
233,OpNate,Ascendant,139.64,230.00,49.28,23,0,0.64
234,offkilter,Ascendant,138.92,210.00,67.84,21,0,0.64
235,eR4Ticate13,Tendies (Lowest Skill),138.81,240.00,37.62,24,0,0.33
236,Truth,Vanguard,138.00,180.00,96.00,18,0,0.8
237,DWE TTV Teach Da Youth,Challengers,137.59,210.00,65.19,21,0,0.41
238,@ArtemisGG_,Emergent,137.59,190.00,85.17,19,0,0.51
239,JackHeDoesIt,Tendies (Lowest Skill),137.44,230.00,44.88,23,0,0.33
240,K1ng13east,Emergent,137.23,200.00,74.46,20,0,0.51
241,bookworm669,Emergent,136.01,220.00,52.02,22,0,0.51
242,Scarab6232,Emergent,134.88,180.00,89.76,18,0,0.51
243,HecTicAstro,Ascendant,134.56,200.00,69.12,20,0,0.64
244,mer,Tendies (Lowest Skill),133.93,220.00,47.85,22,0,0.33
245,KfroJenner69,Ascendant,133.92,200.00,67.84,20,0,0.64
246,Pen5guin,Pinnacle (Highest Skill),132.50,150.00,115.00,15,0,1.0
247,[DAD] Nars Lootbaar,Tendies (Lowest Skill),132.34,200.00,64.68,20,0,0.33
248,SOAK Palms,Ascendant,132.12,190.00,74.24,19,0,0.64
249,laceycs,Emergent,131.62,200.00,63.24,20,0,0.51
250,OE_MrBr0jangless,Tendies (Lowest Skill),131.12,220.00,42.24,22,0,0.33
251,ClarkGriswold,Ascendant,130.84,190.00,71.68,19,0,0.64
252,Keko75FTW,Tendies (Lowest Skill),130.68,230.00,31.35,23,0,0.33
253,Supreme,Emergent,130.34,200.00,60.69,20,0,0.51
254,waz ee,Pinnacle (Highest Skill),130.00,160.00,100.00,16,0,1.0
255,Frijol3s03,Vanguard,129.80,190.00,69.60,19,0,0.8
256,Eppie,Emergent,129.53,180.00,79.05,18,0,0.51
257,SilentRyft,Pinnacle (Highest Skill),129.50,200.00,59.00,20,0,1.0
258,1L Fallen,Vanguard,128.60,190.00,67.20,19,0,0.8
259,F5|GsQ BloomDion,Pinnacle (Highest Skill),128.50,160.00,97.00,16,0,1.0
260,CJtoSmooth,Ascendant,127.96,190.00,65.92,19,0,0.64
261,WhySoSweatyy,Challengers,127.83,220.00,35.67,22,0,0.41
262,Meepmoe6,Tendies (Lowest Skill),126.94,210.00,43.89,21,0,0.33
263,Unix_IRL,Vanguard,125.80,170.00,81.60,17,0,0.8
264,Cherm,Emergent,125.70,180.00,71.40,18,0,0.51
265,muchmixture9,Emergent,125.49,150.00,100.98,15,0,0.51
266,negativerush,Tendies (Lowest Skill),124.87,190.00,59.73,19,0,0.33
267,FTB | SliceOfJAO,Challengers,124.52,190.00,59.04,19,0,0.41
268,Miriahkay19,Challengers,124.06,210.00,38.13,21,0,0.41
269,narwhal,Tendies (Lowest Skill),123.97,210.00,37.95,21,0,0.33
270,Sithopher,Challengers,123.82,180.00,67.65,18,0,0.41
271,Nedlock ネドロック,Vanguard,123.00,170.00,76.00,17,0,0.8
272,iiNovationii,Tendies (Lowest Skill),122.84,180.00,65.67,18,0,0.33
273,MikieDelliii,Tendies (Lowest Skill),122.44,200.00,44.88,20,0,0.33
274,R A P T U R E,Pinnacle (Highest Skill),121.00,130.00,112.00,13,0,1.0
275,FSC | Fishiness,Tendies (Lowest Skill),120.84,210.00,31.68,21,0,0.33
276,Karnivorrr,Challengers,120.26,170.00,70.52,17,0,0.41
277,furryCheese,Vanguard,120.20,170.00,70.40,17,0,0.8
278,CheezySlice,Tendies (Lowest Skill),119.85,210.00,29.70,21,0,0.33
279,NRG ltto.,Vanguard,119.60,140.00,99.20,14,0,0.8
280,Twitch | lAlliegatorl,Vanguard,119.20,160.00,78.40,16,0,0.8
281,CG BilliardHorn,Emergent,118.76,160.00,77.52,16,0,0.51
282,s,Vanguard,117.60,160.00,75.20,16,0,0.8
283,AllieFPS | Twitch,Pinnacle (Highest Skill),115.00,130.00,100.00,13,0,1.0
284,AverageDrae,Challengers,113.91,170.00,57.81,17,0,0.41
285,lonewolf4114,Tendies (Lowest Skill),113.81,190.00,37.62,19,0,0.33
286,iklipsa,Ascendant,113.56,190.00,37.12,19,0,0.64
287,the-optimistic-stoic,Ascendant,111.36,160.00,62.72,16,0,0.64
288,SpectacularlyAvg,Challengers,111.19,190.00,32.39,19,0,0.41
289,YoTakeItEezy,Tendies (Lowest Skill),111.19,160.00,62.37,16,0,0.33
290,ayla,Ascendant,110.84,150.00,71.68,15,0,0.64
291,chris k,Pinnacle (Highest Skill),110.50,140.00,81.00,14,0,1.0
292,XHANABUSER,Vanguard,109.80,110.00,109.60,11,0,0.8
293,fyf,Vanguard,109.20,140.00,78.40,14,0,0.8
294,OE_remydees,Tendies (Lowest Skill),109.03,190.00,28.05,19,0,0.33
295,Greywaren99,Challengers,108.78,170.00,47.56,17,0,0.41
296,Tomboys > Femboys,Vanguard,107.60,100.00,115.20,10,0,0.8
297,Epickiller17,Pinnacle (Highest Skill),107.50,90.00,125.00,9,0,1.0
298,Slim_Thor on twitch,Tendies (Lowest Skill),106.00,180.00,32.01,18,0,0.33
299,DirtyVerdy_,Tendies (Lowest Skill),105.51,180.00,31.02,18,0,0.33
300,phokkyu,Emergent,104.42,140.00,68.85,14,0,0.51
301,SoleSky,Emergent,104.42,140.00,68.85,14,0,0.51
302,Hud,Emergent,104.33,150.00,58.65,15,0,0.51
303,A_Fox_With_Sox,Tendies (Lowest Skill),103.81,170.00,37.62,17,0,0.33
304,EXL Unordinary ekiM,Vanguard,103.20,120.00,86.40,12,0,0.8
305,XEL.Bpsword.Twitch,Ascendant,102.96,140.00,65.92,14,0,0.64
306,Samus54,Tendies (Lowest Skill),102.66,170.00,35.31,17,0,0.33
307,Drizzy,Pinnacle (Highest Skill),101.50,160.00,43.00,16,0,1.0
308,TONYPIKACHU,Vanguard,101.20,120.00,82.40,12,0,0.8
309,Prosperitv,Tendies (Lowest Skill),101.17,170.00,32.34,17,0,0.33
310,MaschidezinTV,Challengers,101.16,140.00,62.32,14,0,0.41
311,Sleeping,Pinnacle (Highest Skill),100.00,110.00,90.00,11,0,1.0
312,RG_ItsNick,Tendies (Lowest Skill),99.80,160.00,39.60,16,0,0.33
313,EXL_LEEROYY,Vanguard,98.60,150.00,47.20,15,0,0.8
314,DASLEDGEHAMMER,Pinnacle (Highest Skill),98.00,70.00,126.00,7,0,1.0
315,CantGetAway,Pinnacle (Highest Skill),98.00,110.00,86.00,11,0,1.0
316,Tay,Ascendant,97.84,140.00,55.68,14,0,0.64
317,TheHeuman,Pinnacle (Highest Skill),96.50,90.00,103.00,9,0,1.0
318,RBD Hound,Challengers,96.36,130.00,62.73,13,0,0.41
319,ZeroGLHF,Vanguard,96.20,110.00,82.40,11,0,0.8
320,Poptart,Emergent,96.16,150.00,42.33,15,0,0.51
321,Kbertabifida,Tendies (Lowest Skill),96.00,160.00,32.01,16,0,0.33
322,i miss her,Vanguard,95.80,130.00,61.60,13,0,0.8
323,AmericanMan,Vanguard,95.60,100.00,91.20,10,0,0.8
324,RG Adam10,Tendies (Lowest Skill),94.80,150.00,39.60,15,0,0.33
325,el diablo rojo,Ascendant,94.56,120.00,69.12,12,0,0.64
326,A,Vanguard,94.40,140.00,48.80,14,0,0.8
327,rrroselia,Emergent,94.07,130.00,58.14,13,0,0.51
328,Haightful,Ascendant,93.92,120.00,67.84,12,0,0.64
329,Diadem2721|Live,Ascendant,93.92,120.00,67.84,12,0,0.64
330,Keosha,Tendies (Lowest Skill),93.31,150.00,36.63,15,0,0.33
331,Medic x Frieren,Vanguard,93.20,120.00,66.40,12,0,0.8
332,amieable,Tendies (Lowest Skill),92.66,150.00,35.31,15,0,0.33
333,Rvo,Vanguard,92.40,140.00,44.80,14,0,0.8
334,F5 | Stabjackal TTV,Ascendant,92.16,80.00,104.32,8,0,0.64
335,JO x claw,Emergent,92.03,130.00,54.06,13,0,0.51
336,BACKSP4CEッ,Pinnacle (Highest Skill),92.00,130.00,54.00,13,0,1.0
337,caro,Pinnacle (Highest Skill),92.00,130.00,54.00,13,0,1.0
338,Bsteph13,Challengers,91.65,130.00,53.30,13,0,0.41
339,JRobx,Challengers,91.19,150.00,32.39,15,0,0.41
340,Revy2hands,Emergent,91.16,140.00,42.33,14,0,0.51
341,BakedPotato1213,Emergent,90.75,130.00,51.51,13,0,0.51
342,RG_CPTMurph24,Tendies (Lowest Skill),89.80,140.00,39.60,14,0,0.33
343,MJ5044,Ascendant,89.72,70.00,109.44,7,0,0.64
344,Eclipsie13,Vanguard,89.40,90.00,88.80,9,0,0.8
345,@Arise__FPS,Pinnacle (Highest Skill),89.00,120.00,58.00,12,0,1.0
346,m2,Vanguard,88.40,80.00,96.80,8,0,0.8
347,LVS_Falcon,Vanguard,88.20,110.00,66.40,11,0,0.8
348,siyoshiwakona,Emergent,88.11,140.00,36.21,14,0,0.51
349,SlyTitan,Pinnacle (Highest Skill),87.00,130.00,44.00,13,0,1.0
350,mildly boof,Tendies (Lowest Skill),86.00,140.00,32.01,14,0,0.33
351,FSC | shape,Tendies (Lowest Skill),85.84,140.00,31.68,14,0,0.33
352,Eddy,Vanguard,84.80,100.00,69.60,10,0,0.8
353,Pxrmafrxstt,Pinnacle (Highest Skill),84.00,100.00,68.00,10,0,1.0
354,Durxy,Pinnacle (Highest Skill),82.50,110.00,55.00,11,0,1.0
355,BossBBALLER101,Tendies (Lowest Skill),82.44,120.00,44.88,12,0,0.33
356,Graffix,Vanguard,81.20,80.00,82.40,8,0,0.8
357,zCrackdown,Pinnacle (Highest Skill),81.00,50.00,112.00,5,0,1.0
358,Zorro,Pinnacle (Highest Skill),79.00,110.00,48.00,11,0,1.0
359,Majeta23,Vanguard,75.20,80.00,70.40,8,0,0.8
360,h u s k y,Tendies (Lowest Skill),74.85,120.00,29.70,12,0,0.33
361,FALN | cwelk,Challengers,74.76,120.00,29.52,12,0,0.41
362,estrella,Vanguard,74.60,90.00,59.20,9,0,0.8
363,JFairo,Ascendant,74.40,120.00,28.80,12,0,0.64
364,Gible,Tendies (Lowest Skill),73.25,130.00,16.50,13,0,0.33
365,Dom,Vanguard,71.60,100.00,43.20,10,0,0.8
366,splitbomb33,Challengers,70.09,100.00,40.18,10,0,0.41
367,波打つヘッドハンタ,Vanguard,70.00,80.00,60.00,8,0,0.8
368,EXL_KNGKUMO,Pinnacle (Highest Skill),69.00,100.00,38.00,10,0,1.0
369,Childish,Vanguard,68.20,110.00,26.40,11,0,0.8
370,jo_morales7,Emergent,67.03,80.00,54.06,8,0,0.51
